residual_drop,scale_drop,mode,level,cases,mae,mred,rmse,baseline_mae,baseline_mred,baseline_rmse,baseline_mismatches
18,14,DIV,L1,250000,0.014254313,0.013510844,0.020826210,0.011989945,0.011154418,0.019664956,0
18,14,DIV,L2,250000,0.011357266,0.011579860,0.013689194,0.008329991,0.008650281,0.009775349,0
18,14,DIV,L3,250000,0.008531073,0.008287334,0.010890239,0.003547332,0.003316171,0.004889056,0
18,16,MUL,L0,250000,0.077562171,0.038579857,0.097393486,0.062381865,0.031056171,0.083261508,0
18,16,MUL,L1,250000,0.048053134,0.022465754,0.055089354,0.015625465,0.007572268,0.020836891,0
18,16,MUL,L2,250000,0.046905360,0.021623602,0.051410672,0.003916520,0.001883346,0.005213084,0
18,16,MUL,L3,250000,0.046896607,0.021572084,0.051197315,0.000996858,0.000478093,0.001315208,0
18,16,DIV,L0,250000,0.044741997,0.043813302,0.069072742,0.043719095,0.042844922,0.068686918,0
18,16,DIV,L1,250000,0.014254313,0.013510844,0.020826210,0.011989945,0.011154418,0.019664956,0
18,16,DIV,L2,250000,0.011706825,0.011984189,0.014068943,0.008329991,0.008650281,0.009775349,0
18,16,DIV,L3,250000,0.008805890,0.008620713,0.011173362,0.003547332,0.003316171,0.004889056,0
18,18,MUL,L0,250000,0.077562171,0.038579857,0.097393486,0.062381865,0.031056171,0.083261508,0
18,18,MUL,L1,250000,0.048053134,0.022465754,0.055089354,0.015625465,0.007572268,0.020836891,0
18,18,MUL,L2,250000,0.046905360,0.021623602,0.051410672,0.003916520,0.001883346,0.005213084,0
18,18,MUL,L3,250000,0.046896607,0.021572084,0.051197315,0.000996858,0.000478093,0.001315208,0
18,18,DIV,L0,250000,0.046628604,0.045787681,0.071125216,0.043719095,0.042844922,0.068686918,0
18,18,DIV,L1,250000,0.017065582,0.016259136,0.024475897,0.011989945,0.011154418,0.019664956,0
18,18,DIV,L2,250000,0.015021342,0.015495938,0.017808564,0.008329991,0.008650281,0.009775349,0
18,18,DIV,L3,250000,0.011529204,0.011450550,0.014529415,0.003547332,0.003316171,0.004889056,0
