level,residual_drop,scale_drop,coefficient_bits,coefficients,cases,mae,mred,rmse,mae_change_pct,mred_change_pct,rmse_change_pct,cost_proxy,within_10pct
0,16,16,8,119,250000,0.04471812192267861,0.04518066006479566,0.05552170994294363,2.471495284598957,5.733553389220125,-18.95778254877153,156,yes
0,16,18,7,60,250000,0.04599071554831091,0.046721778477819845,0.0559999821624193,5.3876412697472675,9.340139166606122,-18.25967290388738,133,yes
0,16,18,8,119,250000,0.043304915319640404,0.04391175396005562,0.05542751724777925,-0.7668650832578949,2.7640095361860073,-19.09527083743686,140,yes
0,16,20,7,61,250000,0.04643291544364656,0.04814380677466912,0.05810158889879051,6.400941527930892,12.668025581507125,-15.192064390010751,119,no
0,16,20,8,121,250000,0.04439814022093392,0.046072086705865135,0.058030105569722774,1.7382577953729328,7.819704990611487,-15.296404971458955,124,yes
0,18,8,7,59,250000,0.042956376990145574,0.04320848305461524,0.05622641411917772,-1.5655400331827996,1.1181873697806655,-17.929161687709406,179,yes
0,18,8,8,118,250000,0.042956376990145574,0.04320848305461524,0.05622641411917772,-1.5655400331827996,1.1181873697806655,-17.929161687709406,196,yes
0,18,10,7,59,250000,0.042956376990145574,0.04320848305461524,0.05622641411917772,-1.5655400331827996,1.1181873697806655,-17.929161687709406,165,yes
0,18,10,8,118,250000,0.042956376990145574,0.04320848305461524,0.05622641411917772,-1.5655400331827996,1.1181873697806655,-17.929161687709406,180,yes
0,18,12,7,59,250000,0.042956376990145574,0.04320848305461524,0.05622641411917772,-1.5655400331827996,1.1181873697806655,-17.929161687709406,151,yes
0,18,12,8,118,250000,0.042956376990145574,0.04320848305461524,0.05622641411917772,-1.5655400331827996,1.1181873697806655,-17.929161687709406,164,yes
0,18,14,7,59,250000,0.042956376990145574,0.04320848305461524,0.05622641411917772,-1.5655400331827996,1.1181873697806655,-17.929161687709406,137,yes
0,18,14,8,118,250000,0.042956376990145574,0.04320848305461524,0.05622641411917772,-1.5655400331827996,1.1181873697806655,-17.929161687709406,148,yes
0,18,16,7,59,250000,0.042956376990145574,0.04320848305461524,0.05622641411917772,-1.5655400331827996,1.1181873697806655,-17.929161687709406,123,yes
0,18,16,8,118,250000,0.042956376990145574,0.04320848305461524,0.05622641411917772,-1.5655400331827996,1.1181873697806655,-17.929161687709406,132,yes
0,18,18,7,59,250000,0.04234404918495703,0.04268503760354199,0.0566326425161487,-2.9686880882487166,-0.1068002126943246,-17.33621074804963,109,yes
0,18,18,8,119,250000,0.0443983552672889,0.044920302551601475,0.056163697633882466,1.738750573705361,5.124254521471805,-18.020705752982213,116,yes
0,18,20,7,61,250000,0.04762318602178277,0.04921319999695308,0.05911011466194361,9.128444399043767,15.170661558942422,-13.719970603875353,95,no
0,18,20,8,121,250000,0.04539371539002022,0.046943895589648676,0.0586339055359919,4.019616489749422,9.859946346681214,-14.415068856023883,100,yes
0,20,8,7,59,250000,0.050733081714000934,0.05068775330639076,0.06657134267154265,16.25476473762475,18.62146906917097,-2.829195384082772,155,no
0,20,8,8,118,250000,0.050733081714000934,0.05068775330639076,0.06657134267154265,16.25476473762475,18.62146906917097,-2.829195384082772,172,no
0,20,10,7,59,250000,0.050733081714000934,0.05068775330639076,0.06657134267154265,16.25476473762475,18.62146906917097,-2.829195384082772,141,no
0,20,10,8,118,250000,0.050733081714000934,0.05068775330639076,0.06657134267154265,16.25476473762475,18.62146906917097,-2.829195384082772,156,no
0,20,12,7,59,250000,0.050733081714000934,0.05068775330639076,0.06657134267154265,16.25476473762475,18.62146906917097,-2.829195384082772,127,no
0,20,12,8,118,250000,0.050733081714000934,0.05068775330639076,0.06657134267154265,16.25476473762475,18.62146906917097,-2.829195384082772,140,no
0,20,14,7,59,250000,0.050733081714000934,0.05068775330639076,0.06657134267154265,16.25476473762475,18.62146906917097,-2.829195384082772,113,no
0,20,14,8,118,250000,0.050733081714000934,0.05068775330639076,0.06657134267154265,16.25476473762475,18.62146906917097,-2.829195384082772,124,no
0,20,16,7,59,250000,0.050733081714000934,0.05068775330639076,0.06657134267154265,16.25476473762475,18.62146906917097,-2.829195384082772,99,no
0,20,16,8,118,250000,0.050733081714000934,0.05068775330639076,0.06657134267154265,16.25476473762475,18.62146906917097,-2.829195384082772,108,no
0,20,18,7,59,250000,0.050733081714000934,0.05068775330639076,0.06657134267154265,16.25476473762475,18.62146906917097,-2.829195384082772,85,no
0,20,18,8,118,250000,0.050733081714000934,0.05068775330639076,0.06657134267154265,16.25476473762475,18.62146906917097,-2.829195384082772,92,no
0,20,20,7,60,250000,0.0529528537831279,0.05368472100868651,0.06832604547503254,21.341368408229044,25.635090474922983,-0.26794490550702266,71,no
0,20,20,8,120,250000,0.0529528537831279,0.05368472100868651,0.06832604547503254,21.341368408229044,25.635090474922983,-0.26794490550702266,76,no
1,0,0,7,baseline,250000,0.011866260504385657,0.011044201684662195,0.019394308426695938,0.0,0.0,0.0,,yes
1,6,8,7,83 42,250000,0.011391001451594659,0.010753267119170887,0.015845795261064534,-4.00512910209031,-2.634274289787264,-18.296672856594032,323,yes
1,6,8,8,166 84,250000,0.011391001451594659,0.010753267119170887,0.015845795261064534,-4.00512910209031,-2.634274289787264,-18.296672856594032,340,yes
1,6,10,7,83 42,250000,0.011386923405449308,0.010749569775741557,0.015847220302241352,-4.03949583577059,-2.6677519782150716,-18.289325127840495,309,yes
1,6,10,8,166 84,250000,0.011386923405449308,0.010749569775741557,0.015847220302241352,-4.03949583577059,-2.6677519782150716,-18.289325127840495,324,yes
1,6,12,7,83 42,250000,0.011371029871841562,0.010735201565442597,0.01585342593814416,-4.173434692092437,-2.797849297235555,-18.257327926567424,295,yes
1,6,12,8,166 84,250000,0.011371029871841562,0.010735201565442597,0.01585342593814416,-4.173434692092437,-2.797849297235555,-18.257327926567424,308,yes
1,6,14,7,83 42,250000,0.011312564825468498,0.010682935325157909,0.01588557833334103,-4.666134530861832,-3.2710952753244316,-18.091545293387213,281,yes
1,6,14,8,166 84,250000,0.011312564825468498,0.010682935325157909,0.01588557833334103,-4.666134530861832,-3.2710952753244316,-18.091545293387213,292,yes
1,6,16,7,83 42,250000,0.011165222391135887,0.010563143980710427,0.016130221060447227,-5.907826757980517,-4.355748995600517,-16.830130234268882,267,yes
1,6,16,8,166 84,250000,0.011165222391135887,0.010563143980710427,0.016130221060447227,-5.907826757980517,-4.355748995600517,-16.830130234268882,276,yes
1,6,18,7,84 42,250000,0.013097110007070647,0.012539648238547339,0.017441536348071773,10.372682297258518,13.540558173271755,-10.068789438948011,253,no
1,6,18,8,167 85,250000,0.012398499798826141,0.011954821879269452,0.016842223637469993,4.4853161132251795,8.245233296236298,-13.158936802887201,260,yes
1,6,20,7,86 43,250000,0.019763834907073504,0.01944116748410277,0.025783065561868553,66.55487126520592,76.03053655840051,32.94140216094841,239,no
1,6,20,8,171 86,250000,0.01967506855721102,0.019460906082232523,0.025745915329622702,65.80681462318564,76.20926018816874,32.74984992083494,244,no
1,8,8,7,83 42,250000,0.011391396234771624,0.010753550216774979,0.015845758295594713,-4.001802163693668,-2.631710975460211,-18.29686345617101,299,yes
1,8,8,8,166 84,250000,0.011391396234771624,0.010753550216774979,0.015845758295594713,-4.001802163693668,-2.631710975460211,-18.29686345617101,316,yes
1,8,10,7,83 42,250000,0.011387316437274803,0.010749851007616194,0.015847178560279805,-4.036183656458913,-2.665205557181971,-18.289540355734303,285,yes
1,8,10,8,166 84,250000,0.011387316437274803,0.010749851007616194,0.015847178560279805,-4.036183656458913,-2.665205557181971,-18.289540355734303,300,yes
1,8,12,7,83 42,250000,0.01137135599966983,0.01073542139891842,0.015853347717923405,-4.1706863298080705,-2.795858809538032,-18.257731241906317,271,yes
1,8,12,8,166 84,250000,0.01137135599966983,0.01073542139891842,0.015853347717923405,-4.1706863298080705,-2.795858809538032,-18.257731241906317,284,yes
1,8,14,7,83 42,250000,0.011312705230090179,0.01068300387413363,0.01588549678013247,-4.664951305349218,-3.2704745969116433,-18.09196579411745,257,yes
1,8,14,8,166 84,250000,0.011312705230090179,0.01068300387413363,0.01588549678013247,-4.664951305349218,-3.2704745969116433,-18.09196579411745,268,yes
1,8,16,7,83 42,250000,0.011165070540679313,0.010563063049353286,0.016130232659441232,-5.909106440459411,-4.356481790595124,-16.830070428094057,243,yes
1,8,16,8,166 84,250000,0.011165070540679313,0.010563063049353286,0.016130232659441232,-5.909106440459411,-4.356481790595124,-16.830070428094057,252,yes
1,8,18,7,84 42,250000,0.013097096016059498,0.012540048106082445,0.017442049642024143,10.372564391443607,13.544178783855699,-10.066142817366686,229,no
