candidate,mode,level,cases,mae,mred,rmse
residual_drop_16,MUL,1,1000000,0.019410173857212085,0.009351933711104087,0.02438358579731575
joint_drop_16_no_round_lut,MUL,1,1000000,0.019410132213491055,0.009351915321803574,0.024383543809114016
baseline,MUL,2,1000000,0.003906251217126847,0.001884715949177721,0.005208499800739038
residual_drop_2,MUL,2,1000000,0.0039062531855106365,0.001884717331870826,0.005208499875954612
joint_drop_2_no_round_lut,MUL,2,1000000,0.0039062525587081915,0.0018847168743561578,0.0052084998060628425
residual_drop_4,MUL,2,1000000,0.00390626188175397,0.0018847233682604003,0.005208500566369321
joint_drop_4_no_round_lut,MUL,2,1000000,0.003906260935832033,0.0018847228233736615,0.005208500479817887
residual_drop_6,MUL,2,1000000,0.003906307620542663,0.0018847525473701717,0.0052085115652931915
joint_drop_6_no_round_lut,MUL,2,1000000,0.003906306354102721,0.0018847518598219303,0.0052085111732703415
residual_drop_8,MUL,2,1000000,0.003906723143138691,0.0018849728171049375,0.0052087381300052185
joint_drop_8_no_round_lut,MUL,2,1000000,0.003906720013860052,0.001884971303415098,0.00520873645634648
residual_drop_10,MUL,2,1000000,0.003912791700336955,0.0018878025854068012,0.005212282141487574
joint_drop_10_no_round_lut,MUL,2,1000000,0.003912780261215162,0.001887797372049365,0.005212275466104757
residual_drop_12,MUL,2,1000000,0.003990461365026277,0.001922768765150331,0.005268344527413233
joint_drop_12_no_round_lut,MUL,2,1000000,0.003990427391878942,0.001922753457810174,0.005268318787839763
residual_drop_14,MUL,2,1000000,0.004850557394821582,0.0023114911112511304,0.006098614457010357
joint_drop_14_no_round_lut,MUL,2,1000000,0.004850468109411924,0.0023114505698612546,0.0060985257003499365
residual_drop_16,MUL,2,1000000,0.01194576186545526,0.005557745391058761,0.013721646121747363
joint_drop_16_no_round_lut,MUL,2,1000000,0.011945595506548926,0.005557668901782968,0.013721483850910944
baseline,MUL,3,1000000,0.0009766870146508803,0.0004702597696643115,0.0013022496210282908
residual_drop_2,MUL,3,1000000,0.000976686876475705,0.0004702598865521079,0.0013022495118174314
joint_drop_2_no_round_lut,MUL,3,1000000,0.0009766871418763032,0.0004702598169196751,0.001302249708270371
