top,level,mode,dataset,cases,mred,rmse,mean_error,max_relative
runtime_both,1,MUL,uniform_100k,100000,0.007753858850700297,0.02104540692228569,-0.0028769932327289507,0.06528200381498213
runtime_both,1,DIV,uniform_100k,100000,0.011632792892050688,0.02008473316598743,-0.009744174147106764,0.10085314960464065
runtime_both,2,MUL,uniform_100k,100000,0.001926223985875519,0.005278244080336394,-0.0007303727493305134,0.015640683296177384
runtime_both,2,DIV,uniform_100k,100000,0.009674855377026238,0.010827052358310177,-0.00812743281409895,0.03351305118763541
runtime_both,3,MUL,uniform_100k,100000,0.00048097439133306795,0.001319292842592434,-0.00018366407013129462,0.0038108221257221017
runtime_both,3,DIV,uniform_100k,100000,0.0047076527628546055,0.006191304857827412,-0.004011350050427076,0.021035874488035077
runtime_both,0,MUL,boundaries,2304,0.0328433287496471,0.08467795368340511,-0.007921006944444444,0.25000017881390235
runtime_both,0,DIV,boundaries,2304,0.04723091884440485,0.07426223418554426,-0.041761544958179825,0.3041993431688604
runtime_both,1,MUL,boundaries,2304,0.008044165439101001,0.0216354887263546,-0.0020616319444444445,0.06250022351737794
runtime_both,1,DIV,boundaries,2304,0.012177593801784,0.021725464763693345,-0.009877457501582596,0.09161395001135707
runtime_both,2,MUL,boundaries,2304,0.002034915550208823,0.005873972789106001,-0.0005967881944444445,0.015625234693246837
runtime_both,2,DIV,boundaries,2304,0.00971927268513998,0.011704371215096128,-0.00796756573725968,0.03339834531768277
runtime_both,3,MUL,boundaries,2304,0.0005215638480402011,0.0019406010803100034,-0.00023057725694444444,0.003906487487214061
runtime_both,3,DIV,boundaries,2304,0.004965318987228824,0.007280864914920463,-0.004117052702862979,0.02246083391622262
runtime_both,0,MUL,signed_exponents,2000,0.0310824048525294,44519719.50670315,899068.2710532851,0.24048929781684833
runtime_both,0,DIV,signed_exponents,2000,0.0440806692592085,31993454.000243366,-565480.3092300891,0.33485293564178426
runtime_both,1,MUL,signed_exponents,2000,0.007487177780437181,14438485.72703841,634737.331875603,0.055334947533393436
runtime_both,1,DIV,signed_exponents,2000,0.011590145855981702,6671347.843391023,-29599.86144491308,0.09126790883512548
runtime_both,2,MUL,signed_exponents,2000,0.0019528864642253487,6228650.572178643,-8173.734495996505,0.01250527912821589
runtime_both,2,DIV,signed_exponents,2000,0.009763923424872142,4595178.143620239,10354.513263717312,0.030455040131386252
runtime_both,3,MUL,signed_exponents,2000,0.000476056847799136,1647549.4606640178,18250.601270860498,0.0031266337747772907
runtime_both,3,DIV,signed_exponents,2000,0.0046799172907245855,2367669.2932470744,-34375.00425644621,0.01817858871158796
