level,group,dataset,mode,count,mred,rmse,mae,max_relative
1,div_drop,cell_edges_diagonal,div,10718,0.009551071469694458,0.011953900708324614,0.0097229648419016,0.08007830777203344
1,div_drop,residual_boundaries,mul,166464,0.00835739655520165,0.02178456268871089,0.016782457117571054,0.06736351952569909
1,div_drop,residual_boundaries,div,166464,0.011151911698967122,0.016734733543582122,0.011892395020911028,0.09196331313534671
1,div_drop,fresh_200k_seed_20260916,mul,200000,0.007913044779846471,0.021404166100190886,0.016340934764896748,0.06666448232680261
1,div_drop,fresh_200k_seed_20260916,div,200000,0.010986555026401779,0.015994975723744764,0.011593533321143918,0.09010694614859933
2,mul_drop,random_200k,mul,200000,0.0018882605851581436,0.005220781671881097,0.003921313700797191,0.015045934257136545
2,mul_drop,random_200k,div,200000,0.003040453141014676,0.004416312283701302,0.0032174275662901664,0.028302700013258155
2,mul_drop,boundary_grid,mul,131072,0.0019177354885772098,0.0052629571546939,0.003986689836211969,0.015094619914616416
2,mul_drop,boundary_grid,div,131072,0.003045221374042856,0.004414973584198718,0.0032209853206494965,0.028073299262722954
2,mul_drop,signed,mul,2000,0.0019465302792310269,4213845.978614985,290308.78327939764,0.010811440371227169
2,mul_drop,signed,div,2000,0.0030413031201410048,2719750.195951915,192611.97056340188,0.023814487602152767
2,mul_drop,cell_edges_diagonal,mul,10718,0.002509056939308906,0.00676910114028006,0.0050001913397435295,0.01601149533729021
2,mul_drop,cell_edges_diagonal,div,10718,0.002885666822974762,0.0036632589327805286,0.0029353158479446897,0.028148859659697996
2,mul_drop,residual_boundaries,mul,166464,0.0019390814827134866,0.005462390071632508,0.0038795902743605443,0.016036585251430965
2,mul_drop,residual_boundaries,div,166464,0.0032438389641415806,0.004937218653191014,0.0034492261359358465,0.029002284782387682
2,mul_drop,fresh_200k_seed_20260916,mul,200000,0.001890925237936006,0.005223829414614719,0.003923975077981176,0.014946983709189827
2,mul_drop,fresh_200k_seed_20260916,div,200000,0.0030516606184625107,0.004424829484782106,0.003228446767757654,0.02826993715199523
