dataset,design,mode,bits,bias,cases,mae,mred,rmse,mean_error,max_abs,max_relative,p99_relative
random_200k,input_mul_b3_bias1,mul,3,1,200000,0.0633686277338092,0.029347509991243182,0.07782775880314596,-0.0002468081709022461,0.24084684937983525,0.12556395191857442,0.08532707149020687
random_200k,input_mul_b4_bias0,mul,4,0,200000,0.09280735504590226,0.04255771615028933,0.10144920795255095,-0.09280735504590226,0.24084684937983525,0.11005969162966264,0.08560725904794819
random_200k,input_mul_b4_bias1,mul,4,1,200000,0.03170662891673376,0.014671152441799718,0.03893417969223312,-5.5528874027246074e-05,0.12051165035329348,0.06032797892675392,0.042259106446895824
random_200k,input_mul_b5_bias0,mul,5,0,200000,0.04661996735058974,0.02146006879711609,0.0509246856132339,-0.04661996735058974,0.12051165035329348,0.05742229179040642,0.04378373347207724
random_200k,input_mul_b5_bias1,mul,5,1,200000,0.01583642948997662,0.007324227003304337,0.01946986569885008,6.722978477539244e-07,0.059720634728293476,0.029880197082260394,0.02109419385393576
random_200k,input_mul_b6_bias0,mul,6,0,200000,0.023329764713871,0.010763002329971412,0.025482639612302987,-0.023329764713871,0.059720634728293476,0.028651214012387245,0.0221442917462223
random_200k,input_mul_b6_bias1,mul,6,1,200000,0.007938206736719874,0.0036739749136235913,0.009745323060932112,4.176604784775392e-05,0.030396182946830663,0.015138509046539753,0.010502366233155569
random_200k,input_mul_b7_bias0,mul,7,0,200000,0.011700515141117087,0.005402567163832145,0.0127719453415213,-0.011700515141117087,0.029543833418742338,0.014891456061888202,0.011111124592322923
random_200k,input_mul_b7_bias1,mul,7,1,200000,0.003960882494957646,0.0018328392111825699,0.004865602758426175,3.942827110351743e-07,0.015030582360893163,0.007344306931101648,0.005270836832953758
random_200k,input_mul_b8_bias0,mul,8,0,200000,0.005854000706302637,0.0027052202593131364,0.006390188607839722,-0.005854000706302637,0.015274567201899458,0.007268732208359456,0.005595127586732251
random_200k,input_mul_b8_bias1,mul,8,1,200000,0.001984360740299777,0.000918534359058171,0.0024364042279192825,2.6832140732423683e-07,0.007511658266352583,0.0035841149677709448,0.002642353531890675
random_200k,input_mul_b9_bias0,mul,9,0,200000,0.002928548645603174,0.0013536976607514697,0.0031964054729202813,-0.002928548645603174,0.007511658266352583,0.0038163585324012227,0.002798406096730294
random_200k,input_mul_b9_bias1,mul,9,1,200000,0.0009917242639177193,0.0004589097412412124,0.001217949767002181,-4.605337257324038e-07,0.003736427021522104,0.001890419859454406,0.0013192844669341246
random_200k,input_mul_b10_bias0,mul,10,0,200000,0.0014632527586097655,0.000676476987726572,0.0015969241769041307,-0.0014632527586097655,0.0037148465268614927,0.001890419859454406,0.0014008025203622102
random_200k,input_mul_b10_bias1,mul,10,1,200000,0.0004948710698315792,0.0002288866383925234,0.0006082213470329438,1.0302809600891293e-06,0.0018560196881480806,0.0009267530560545322,0.0006613596438337347
random_200k,input_mul_b11_bias0,mul,11,0,200000,0.0007315843924159942,0.0003381999373616413,0.0007986315585132601,-0.0007315843924159942,0.0018621477192937164,0.000926782190613831,0.0007005423759140146
random_200k,input_mul_b11_bias1,mul,11,1,200000,0.0002481733387739561,0.00011484717541370971,0.000304573467458364,5.204806451858701e-07,0.00093449137460766,0.0004545807426254831,0.0003301898497198032
boundary_grid,oadm_div_l0,div,,,589824,0.04234182553916093,0.04269699746195573,0.05660944112014499,-0.006250701398688798,0.30029284954071045,0.3125221151319694,0.20913305493855916
boundary_grid,oadm_div_l1,div,,,589824,0.011458086224815868,0.010845144282166638,0.01627734028610245,-0.0024588923166575473,0.10534656047821045,0.09241516260134226,0.049564783828248526
boundary_grid,oadm_div_l2,div,,,589824,0.0040073693826007985,0.0038259342395057395,0.005557152902058123,-0.0013974528024973912,0.04235827922821045,0.030255580015620766,0.015433228270286823
boundary_grid,oadm_div_l3,div,,,589824,0.0029942211779573112,0.0029955434966136723,0.0038040915911988545,-0.0011938433359446568,0.01908022858375724,0.01704809109569114,0.009888025047995566
boundary_grid,input_div_b2_bias0,div,2,0,589824,0.06976498769242205,0.0680399228421685,0.08830361950148938,-0.012415252179938798,0.349999866485583,0.24999992847441946,0.20616873542178613
boundary_grid,input_div_b2_bias1,div,2,1,589824,0.06680814584497015,0.06372176772872705,0.08560503696831112,-0.028040252179938805,0.37499988079071045,0.24999988079071053,0.17747646239950488
boundary_grid,input_div_b3_bias0,div,3,0,589824,0.034706095282659215,0.03388976573930363,0.04405446579602862,-0.008020720929938795,0.20833315672695973,0.14236102023241473,0.10254128294550789
boundary_grid,input_div_b3_bias1,div,3,1,589824,0.0338719720289024,0.032837802458910464,0.04299413983676087,-0.014856658429938793,0.18749988079071045,0.13194435246195824,0.09677421505981061
boundary_grid,input_div_b4_bias0,div,4,0,589824,0.017607042221124653,0.017393133628147848,0.02222904667530169,-0.004907927961188799,0.11397038364078105,0.08180136756912323,0.053977373672445546
boundary_grid,input_div_b4_bias1,div,4,1,589824,0.01707613684752905,0.01654607494108258,0.021734821415613306,-0.007898650617438796,0.09374988079071045,0.06985283681676936,0.04918025144974819
