level,x_residual_drop,y_residual_drop,wn_drop,coefficient_bits,coefficients,cases,mae,mred,rmse,mae_change_vs_current_pct,mred_change_vs_current_pct,rmse_change_vs_current_pct,active_x_residual_bits,active_y_residual_bits,cost_proxy,within_2pct,within_5pct,is_current
1,21,16,16,7,90 46,250000,0.046951931334748,0.046959357556846534,0.05682534291505899,311.4675270593595,335.52116309081833,250.0697251826228,2,7,54,no,no,no
1,21,17,16,7,90 46,250000,0.04708181742018782,0.04706454255897201,0.05705642312113441,312.6057956003128,336.4966937805204,251.49328340658084,2,6,48,no,no,no
1,21,18,16,7,89 45,250000,0.04687443444988481,0.04681016451073106,0.05675287596436741,310.7883760497425,334.137482982107,249.62329610341172,2,5,42,no,no,no
1,21,19,16,7,88 45,250000,0.04738840452341816,0.047159132279680584,0.05776000974892214,315.2925996062029,337.37395929952936,255.8276941605993,2,4,36,no,no,no
1,21,20,16,7,86 44,250000,0.05032212929956191,0.049545614996684244,0.06260190975439482,341.0025639121712,359.5072205424535,285.65598057870693,2,3,30,no,no,no
1,21,21,16,7,82 42,250000,0.06276322371666512,0.06032766631487738,0.08021992684958976,450.0312280840523,459.5045751680968,394.19090683505533,2,2,24,no,no,no
2,16,16,16,8,203 136 97 73,250000,0.003838120314496026,0.003657460415261406,0.005363023151035869,0.0,0.0,0.0,7,7,84,yes,yes,yes
2,16,17,16,8,203 136 97 73,250000,0.004767898908119166,0.004423763087849989,0.0064368965344148415,24.224842303965843,20.951769413307897,20.023657424852857,7,6,78,no,no,no
2,16,18,16,8,201 135 97 73,250000,0.007276116397752503,0.006870823795995203,0.009430577965783364,89.5749950899575,87.85777604934464,75.84443885836751,7,5,72,no,no,no
2,16,19,16,8,199 133 96 72,250000,0.012258853685945433,0.011340104738974958,0.015864724962118538,219.3973268541247,210.0540662492572,195.8168278474476,7,4,66,no,no,no
2,16,20,16,8,193 130 94 71,250000,0.02367519647190204,0.021881967057306807,0.03023007780534629,516.8435205765761,498.28308642795963,463.67606392874404,7,3,60,no,no,no
2,17,16,16,8,204 136 98 73,250000,0.005105966775394346,0.0049815879044914375,0.006552054467982817,33.033004622336804,36.203467403362,22.170915236815382,6,7,78,no,no,no
2,17,17,16,8,203 136 97 73,250000,0.005157038467567864,0.004951409988680989,0.006852693169940469,34.36364795784215,35.37836166374755,27.77668447351136,6,6,72,no,no,no
2,17,18,16,8,202 135 97 73,250000,0.00723139969314382,0.00678468158917495,0.009521143389584574,88.40992727173943,85.50252959306562,77.53313982516676,6,5,66,no,no,no
2,17,19,16,8,199 134 96 72,250000,0.012391471843279732,0.011500641754649047,0.016014637180534086,222.85261607039604,214.44336913833894,198.61212099076718,6,4,60,no,no,no
2,17,20,16,8,194 131 94 71,250000,0.023756940738821803,0.02199340302890629,0.030284590262668845,518.973320067515,501.329899214627,464.6925140873085,6,3,54,no,no,no
2,18,16,16,8,205 137 98 74,250000,0.0068747827960753466,0.006797152090439636,0.00860564834664198,79.11848073418348,85.84349025562399,60.46263654446087,5,7,72,no,no,no
2,18,17,16,8,204 137 98 73,250000,0.007483673115468126,0.007402728458392864,0.009442494759704642,94.9827650582858,102.40078135920925,76.06664177611879,5,6,66,no,no,no
