top,level,kind,bits,residual_drop,wn_drop,coefficient_bits,dataset,cases,rmse,mred,max_relative,mean_error,area_um2,delay_ns,slack_ns,power_mw,dc_report,pt_dir,adp_um2_ns,status
input_l2_narrow_b6,2,narrow,6,16,16,8,uniform_100k,100000,0.006778125996589425,0.004930412386883546,0.03392250597340904,-0.0009043094133683055,1211.760006,2.55438,7.42562,0.06251570000000001,experiments/oadm_input_width/dc/input_l2_narrow_b6/input_l2_narrow_b6.dc.rpt,experiments/oadm_input_width/pt/input_l2_narrow_b6,3095.2955241262803,pass
input_l2_mask_b7,2,mask,7,16,16,8,uniform_100k,100000,0.005286910112230799,0.0036413991796571503,0.029231251009329478,-0.0013412161516495552,1484.640007,2.73617,7.24383,0.07520829999999999,experiments/oadm_input_width/dc/input_l2_mask_b7/input_l2_mask_b7.dc.rpt,experiments/oadm_input_width/pt/input_l2_mask_b7,4062.2274479531898,pass
input_l2_narrow_b7,2,narrow,7,16,16,8,uniform_100k,100000,0.005286910112230799,0.0036413991796571503,0.029231251009329478,-0.0013412161516495552,1329.840006,2.51239,7.46761,0.0690526,experiments/oadm_input_width/dc/input_l2_narrow_b7/input_l2_narrow_b7.dc.rpt,experiments/oadm_input_width/pt/input_l2_narrow_b7,3341.07673267434,pass
input_l2_mask_b8,2,mask,8,16,16,8,uniform_100k,100000,0.005286910112230799,0.0036413991796571503,0.029231251009329478,-0.0013412161516495552,1484.640007,2.73617,7.24383,0.07520829999999999,experiments/oadm_input_width/dc/input_l2_mask_b8/input_l2_mask_b8.dc.rpt,experiments/oadm_input_width/pt/input_l2_mask_b8,4062.2274479531898,pass
input_l2_narrow_b8,2,narrow,8,16,16,8,uniform_100k,100000,0.005286910112230799,0.0036413991796571503,0.029231251009329478,-0.0013412161516495552,1329.840006,2.51239,7.46761,0.0690526,experiments/oadm_input_width/dc/input_l2_narrow_b8/input_l2_narrow_b8.dc.rpt,experiments/oadm_input_width/pt/input_l2_narrow_b8,3341.07673267434,pass
input_l3_control_b23,3,control,23,16,16,8,uniform_100k,100000,0.003464444928480291,0.0027890733509097457,0.015964165580673716,-0.0011428970598526805,1865.520005,3.08149,6.89851,0.0834119,experiments/oadm_input_width/dc/input_l3_control_b23/input_l3_control_b23.dc.rpt,experiments/oadm_input_width/pt/input_l3_control_b23,5748.581240207451,pass
input_l3_mask_b4,3,mask,4,16,16,8,uniform_100k,100000,0.020976898260920463,0.015601443939776784,0.0612676021869015,0.0012279406476668508,1736.280005,3.08197,6.89803,0.075351,experiments/oadm_input_width/dc/input_l3_mask_b4/input_l3_mask_b4.dc.rpt,experiments/oadm_input_width/pt/input_l3_mask_b4,5351.16288700985,pass
input_l3_narrow_b4,3,narrow,4,16,16,8,uniform_100k,100000,0.020976898260920463,0.015601443939776784,0.0612676021869015,0.0012279406476668508,1306.080005,2.5505,7.4295,0.052910900000000004,experiments/oadm_input_width/dc/input_l3_narrow_b4/input_l3_narrow_b4.dc.rpt,experiments/oadm_input_width/pt/input_l3_narrow_b4,3331.1570527525,pass
input_l3_mask_b5,3,mask,5,16,16,8,uniform_100k,100000,0.010561802894930885,0.007990650202907179,0.036181338037947944,-0.00014812533133705538,1788.120005,3.08578,6.89422,0.07818900000000001,experiments/oadm_input_width/dc/input_l3_mask_b5/input_l3_mask_b5.dc.rpt,experiments/oadm_input_width/pt/input_l3_mask_b5,5517.7449490289,pass
input_l3_narrow_b5,3,narrow,5,16,16,8,uniform_100k,100000,0.010561802894930885,0.007990650202907179,0.036181338037947944,-0.00014812533133705538,1356.120004,2.60711,7.37289,0.056894600000000004,experiments/oadm_input_width/dc/input_l3_narrow_b5/input_l3_narrow_b5.dc.rpt,experiments/oadm_input_width/pt/input_l3_narrow_b5,3535.5540236284405,pass
input_l3_mask_b6,3,mask,6,16,16,8,uniform_100k,100000,0.005595179797018522,0.004375153614202881,0.022201853332353003,-0.0008131167864151804,1820.880005,3.08503,6.89497,0.0803366,experiments/oadm_input_width/dc/input_l3_mask_b6/input_l3_mask_b6.dc.rpt,experiments/oadm_input_width/pt/input_l3_mask_b6,5617.46944182515,pass
input_l3_narrow_b6,3,narrow,6,16,16,8,uniform_100k,100000,0.005595179797018522,0.004375153614202881,0.022201853332353003,-0.0008131167864151804,1460.880005,2.70691,7.27309,0.0633093,experiments/oadm_input_width/dc/input_l3_narrow_b6/input_l3_narrow_b6.dc.rpt,experiments/oadm_input_width/pt/input_l3_narrow_b6,3954.47069433455,pass
input_l3_mask_b7,3,mask,7,16,16,8,uniform_100k,100000,0.003464444928480291,0.0027890733509097457,0.015964165580673716,-0.0011428970598526805,1865.520005,3.08149,6.89851,0.0834906,experiments/oadm_input_width/dc/input_l3_mask_b7/input_l3_mask_b7.dc.rpt,experiments/oadm_input_width/pt/input_l3_mask_b7,5748.581240207451,pass
input_l3_narrow_b7,3,narrow,7,16,16,8,uniform_100k,100000,0.003464444928480291,0.0027890733509097457,0.015964165580673716,-0.0011428970598526805,1571.040006,2.81631,7.16369,0.0723427,experiments/oadm_input_width/dc/input_l3_narrow_b7/input_l3_narrow_b7.dc.rpt,experiments/oadm_input_width/pt/input_l3_narrow_b7,4424.53567929786,pass
input_l3_mask_b8,3,mask,8,16,16,8,uniform_100k,100000,0.003464444928480291,0.0027890733509097457,0.015964165580673716,-0.0011428970598526805,1865.520005,3.08149,6.89851,0.0834906,experiments/oadm_input_width/dc/input_l3_mask_b8/input_l3_mask_b8.dc.rpt,experiments/oadm_input_width/pt/input_l3_mask_b8,5748.581240207451,pass
input_l3_narrow_b8,3,narrow,8,16,16,8,uniform_100k,100000,0.003464444928480291,0.0027890733509097457,0.015964165580673716,-0.0011428970598526805,1571.040006,2.81631,7.16369,0.0723427,experiments/oadm_input_width/dc/input_l3_narrow_b8/input_l3_narrow_b8.dc.rpt,experiments/oadm_input_width/pt/input_l3_narrow_b8,4424.53567929786,pass
