family,top,level,bits,variant,wrapper,dataset,cases,rmse,mred,max_relative,area_um2,delay_ns,power_mw,adp_um2_ns,dc_report,pt_dir,status
oadm,input_l2_mask_b6,2,6,mask,common,uniform_10k,10000,0.006889334719126983,0.004977770487592726,0.030693739418169292,1435.320007,2.78145,0.073084,3992.27083347015,experiments/oadm_input_width/dc/input_l2_mask_b6/input_l2_mask_b6.dc.rpt,experiments/oadm_input_width/pt/input_l2_mask_b6,pass
oadm,input_l2_narrow_b6,2,6,narrow,common,uniform_10k,10000,0.006889334719126983,0.004977770487592726,0.030693739418169292,1211.760006,2.55438,0.06251570000000001,3095.2955241262803,experiments/oadm_input_width/dc/input_l2_narrow_b6/input_l2_narrow_b6.dc.rpt,experiments/oadm_input_width/pt/input_l2_narrow_b6,pass
oadm,input_l2_mask_b7,2,7,mask,common,uniform_10k,10000,0.005335994536572752,0.0036550448943586666,0.02415865135880778,1484.640007,2.73617,0.07520829999999999,4062.2274479531898,experiments/oadm_input_width/dc/input_l2_mask_b7/input_l2_mask_b7.dc.rpt,experiments/oadm_input_width/pt/input_l2_mask_b7,pass
oadm,input_l2_narrow_b7,2,7,narrow,common,uniform_10k,10000,0.005335994536572752,0.0036550448943586666,0.02415865135880778,1329.840006,2.51239,0.0690526,3341.07673267434,experiments/oadm_input_width/dc/input_l2_narrow_b7/input_l2_narrow_b7.dc.rpt,experiments/oadm_input_width/pt/input_l2_narrow_b7,pass
oadm,input_l2_mask_b8,2,8,mask,common,uniform_10k,10000,0.005335994536572752,0.0036550448943586666,0.02415865135880778,1484.640007,2.73617,0.07520829999999999,4062.2274479531898,experiments/oadm_input_width/dc/input_l2_mask_b8/input_l2_mask_b8.dc.rpt,experiments/oadm_input_width/pt/input_l2_mask_b8,pass
oadm,input_l2_narrow_b8,2,8,narrow,common,uniform_10k,10000,0.005335994536572752,0.0036550448943586666,0.02415865135880778,1329.840006,2.51239,0.0690526,3341.07673267434,experiments/oadm_input_width/dc/input_l2_narrow_b8/input_l2_narrow_b8.dc.rpt,experiments/oadm_input_width/pt/input_l2_narrow_b8,pass
oadm,input_l3_control_b23,3,23,control,common,uniform_10k,10000,0.0034824887726597523,0.0027888256764275724,0.015323586204149852,1865.520005,3.08149,0.0834119,5748.581240207451,experiments/oadm_input_width/dc/input_l3_control_b23/input_l3_control_b23.dc.rpt,experiments/oadm_input_width/pt/input_l3_control_b23,pass
oadm,input_l3_mask_b4,3,4,mask,common,uniform_10k,10000,0.021029941489156306,0.015623006747953494,0.05965852086083653,1736.280005,3.08197,0.075351,5351.16288700985,experiments/oadm_input_width/dc/input_l3_mask_b4/input_l3_mask_b4.dc.rpt,experiments/oadm_input_width/pt/input_l3_mask_b4,pass
oadm,input_l3_narrow_b4,3,4,narrow,common,uniform_10k,10000,0.021029941489156306,0.015623006747953494,0.05965852086083653,1306.080005,2.5505,0.052910900000000004,3331.1570527525,experiments/oadm_input_width/dc/input_l3_narrow_b4/input_l3_narrow_b4.dc.rpt,experiments/oadm_input_width/pt/input_l3_narrow_b4,pass
oadm,input_l3_mask_b5,3,5,mask,common,uniform_10k,10000,0.010523009524908427,0.007986860599367134,0.03226805282096535,1788.120005,3.08578,0.07818900000000001,5517.7449490289,experiments/oadm_input_width/dc/input_l3_mask_b5/input_l3_mask_b5.dc.rpt,experiments/oadm_input_width/pt/input_l3_mask_b5,pass
oadm,input_l3_narrow_b5,3,5,narrow,common,uniform_10k,10000,0.010523009524908427,0.007986860599367134,0.03226805282096535,1356.120004,2.60711,0.056894600000000004,3535.5540236284405,experiments/oadm_input_width/dc/input_l3_narrow_b5/input_l3_narrow_b5.dc.rpt,experiments/oadm_input_width/pt/input_l3_narrow_b5,pass
oadm,input_l3_mask_b6,3,6,mask,common,uniform_10k,10000,0.005599678051178631,0.004355305493049656,0.020289756880469773,1820.880005,3.08503,0.0803366,5617.46944182515,experiments/oadm_input_width/dc/input_l3_mask_b6/input_l3_mask_b6.dc.rpt,experiments/oadm_input_width/pt/input_l3_mask_b6,pass
oadm,input_l3_narrow_b6,3,6,narrow,common,uniform_10k,10000,0.005599678051178631,0.004355305493049656,0.020289756880469773,1460.880005,2.70691,0.0633093,3954.47069433455,experiments/oadm_input_width/dc/input_l3_narrow_b6/input_l3_narrow_b6.dc.rpt,experiments/oadm_input_width/pt/input_l3_narrow_b6,pass
oadm,input_l3_mask_b7,3,7,mask,common,uniform_10k,10000,0.0034824887726597523,0.0027888256764275724,0.015323586204149852,1865.520005,3.08149,0.0834906,5748.581240207451,experiments/oadm_input_width/dc/input_l3_mask_b7/input_l3_mask_b7.dc.rpt,experiments/oadm_input_width/pt/input_l3_mask_b7,pass
oadm,input_l3_narrow_b7,3,7,narrow,common,uniform_10k,10000,0.0034824887726597523,0.0027888256764275724,0.015323586204149852,1571.040006,2.81631,0.0723427,4424.53567929786,experiments/oadm_input_width/dc/input_l3_narrow_b7/input_l3_narrow_b7.dc.rpt,experiments/oadm_input_width/pt/input_l3_narrow_b7,pass
oadm,input_l3_mask_b8,3,8,mask,common,uniform_10k,10000,0.0034824887726597523,0.0027888256764275724,0.015323586204149852,1865.520005,3.08149,0.0834906,5748.581240207451,experiments/oadm_input_width/dc/input_l3_mask_b8/input_l3_mask_b8.dc.rpt,experiments/oadm_input_width/pt/input_l3_mask_b8,pass
oadm,input_l3_narrow_b8,3,8,narrow,common,uniform_10k,10000,0.0034824887726597523,0.0027888256764275724,0.015323586204149852,1571.040006,2.81631,0.0723427,4424.53567929786,experiments/oadm_input_width/dc/input_l3_narrow_b8/input_l3_narrow_b8.dc.rpt,experiments/oadm_input_width/pt/input_l3_narrow_b8,pass
dw,fig8_dw_d0,,23,RTZ,native_dw,uniform_10k,10000,5.4285029883856095e-08,4.301710533163412e-08,1.1723626154496735e-07,19604.520074,9.75016,1.899,191147.20744471182,experiments/pace_fig8_reverse/dc/fig8_dw_d0/fig8_dw_d0.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_dw_d0,pass
