top,level,kind,bits,residual_drop,wn_drop,coefficient_bits,dataset,cases,rmse,mred,max_relative,mean_error
input_l1_narrow_b4,1,narrow,4,16,16,7,signed_safe,100,12188.50889528027,0.015527938296490108,0.052398576328204265,2201.2159559030215
input_l1_mask_b5,1,mask,5,16,16,7,uniform_100k,100000,0.018692739086880964,0.013175694289592433,0.09622540796214919,-0.00044531893485268034
input_l1_mask_b5,1,mask,5,16,16,7,uniform_10k,10000,0.0189106760750596,0.013275687282719776,0.08641239672250624,-0.00048666461914284993
input_l1_mask_b5,1,mask,5,16,16,7,boundaries,1733,0.01744878948588901,0.012964644039835944,0.06027216078473096,0.004294240237566571
input_l1_mask_b5,1,mask,5,16,16,7,signed_safe,100,6055.099847466746,0.011848231167190132,0.05327261131736756,1057.6784703892995
input_l1_narrow_b5,1,narrow,5,16,16,7,uniform_100k,100000,0.018692739086880964,0.013175694289592433,0.09622540796214919,-0.00044531893485268034
input_l1_narrow_b5,1,narrow,5,16,16,7,uniform_10k,10000,0.0189106760750596,0.013275687282719776,0.08641239672250624,-0.00048666461914284993
input_l1_narrow_b5,1,narrow,5,16,16,7,boundaries,1733,0.01744878948588901,0.012964644039835944,0.06027216078473096,0.004294240237566571
input_l1_narrow_b5,1,narrow,5,16,16,7,signed_safe,100,6055.099847466746,0.011848231167190132,0.05327261131736756,1057.6784703892995
input_l1_mask_b6,1,mask,6,16,16,7,uniform_100k,100000,0.016610224921544233,0.011308356078208497,0.09477641707230144,-0.001706213710243305
input_l1_mask_b6,1,mask,6,16,16,7,uniform_10k,10000,0.01688176191890139,0.011405532176512653,0.08712609649742833,-0.0016900581738303498
input_l1_mask_b6,1,mask,6,16,16,7,boundaries,1733,0.01399773756112228,0.009583615260113858,0.062439594840315554,0.004925371224294788
input_l1_mask_b6,1,mask,6,16,16,7,signed_safe,100,4762.601120475076,0.01050541237548213,0.07599406864575074,779.6474001630625
input_l1_narrow_b6,1,narrow,6,16,16,7,uniform_100k,100000,0.016610224921544233,0.011308356078208497,0.09477641707230144,-0.001706213710243305
input_l1_narrow_b6,1,narrow,6,16,16,7,uniform_10k,10000,0.01688176191890139,0.011405532176512653,0.08712609649742833,-0.0016900581738303498
input_l1_narrow_b6,1,narrow,6,16,16,7,boundaries,1733,0.01399773756112228,0.009583615260113858,0.062439594840315554,0.004925371224294788
input_l1_narrow_b6,1,narrow,6,16,16,7,signed_safe,100,4762.601120475076,0.01050541237548213,0.07599406864575074,779.6474001630625
input_l1_mask_b7,1,mask,7,16,16,7,uniform_100k,100000,0.01610807441407574,0.010744290622541598,0.08994003367908683,-0.002334134242469868
input_l1_mask_b7,1,mask,7,16,16,7,uniform_10k,10000,0.01636909082217209,0.010848139015994199,0.08712609649742833,-0.0023605049511741002
input_l1_mask_b7,1,mask,7,16,16,7,boundaries,1733,0.013320979834910183,0.008897346068281202,0.0676611078968687,0.005426296225647212
input_l1_mask_b7,1,mask,7,16,16,7,signed_safe,100,4460.7530736178305,0.010108847776910035,0.0835678877552118,740.7922417408771
input_l1_narrow_b7,1,narrow,7,16,16,7,uniform_100k,100000,0.01610807441407574,0.010744290622541598,0.08994003367908683,-0.002334134242469868
input_l1_narrow_b7,1,narrow,7,16,16,7,uniform_10k,10000,0.01636909082217209,0.010848139015994199,0.08712609649742833,-0.0023605049511741002
input_l1_narrow_b7,1,narrow,7,16,16,7,boundaries,1733,0.013320979834910183,0.008897346068281202,0.0676611078968687,0.005426296225647212
input_l1_narrow_b7,1,narrow,7,16,16,7,signed_safe,100,4460.7530736178305,0.010108847776910035,0.0835678877552118,740.7922417408771
input_l1_mask_b8,1,mask,8,16,16,7,uniform_100k,100000,0.01610807441407574,0.010744290622541598,0.08994003367908683,-0.002334134242469868
input_l1_mask_b8,1,mask,8,16,16,7,uniform_10k,10000,0.01636909082217209,0.010848139015994199,0.08712609649742833,-0.0023605049511741002
input_l1_mask_b8,1,mask,8,16,16,7,boundaries,1733,0.013320979834910183,0.008897346068281202,0.0676611078968687,0.005426296225647212
input_l1_mask_b8,1,mask,8,16,16,7,signed_safe,100,4460.7530736178305,0.010108847776910035,0.0835678877552118,740.7922417408771
input_l1_narrow_b8,1,narrow,8,16,16,7,uniform_100k,100000,0.01610807441407574,0.010744290622541598,0.08994003367908683,-0.002334134242469868
input_l1_narrow_b8,1,narrow,8,16,16,7,uniform_10k,10000,0.01636909082217209,0.010848139015994199,0.08712609649742833,-0.0023605049511741002
input_l1_narrow_b8,1,narrow,8,16,16,7,boundaries,1733,0.013320979834910183,0.008897346068281202,0.0676611078968687,0.005426296225647212
input_l1_narrow_b8,1,narrow,8,16,16,7,signed_safe,100,4460.7530736178305,0.010108847776910035,0.0835678877552118,740.7922417408771
input_l2_control_b23,2,control,23,16,16,8,uniform_100k,100000,0.005286910112230799,0.0036413991796571503,0.029231251009329478,-0.0013412161516495552
input_l2_control_b23,2,control,23,16,16,8,uniform_10k,10000,0.005335994536572752,0.0036550448943586666,0.02415865135880778,-0.0013639076611350373
input_l2_control_b23,2,control,23,16,16,8,boundaries,1733,0.005945215612348348,0.004044152608081649,0.021179140876480394,-0.00037229015364447854
input_l2_control_b23,2,control,23,16,16,8,signed_safe,100,1297.5882752317425,0.003910349068601847,0.017333040535528133,-97.43614428644577
input_l2_mask_b4,2,mask,4,16,16,8,uniform_100k,100000,0.02112674127473188,0.015604785442724088,0.06607715727574248,0.0017751269269637262
input_l2_mask_b4,2,mask,4,16,16,8,uniform_10k,10000,0.021293094632344307,0.015713451708516464,0.06607715727574248,0.0016669211962868377
input_l2_mask_b4,2,mask,4,16,16,8,boundaries,1733,0.027984635425168016,0.02076005091003986,0.05935658310772852,-0.004587502016427587
input_l2_mask_b4,2,mask,4,16,16,8,signed_safe,100,10318.014680272054,0.014941088354061287,0.04791026973008803,1563.3078363697082
input_l2_narrow_b4,2,narrow,4,16,16,8,uniform_100k,100000,0.02112674127473188,0.015604785442724088,0.06607715727574248,0.0017751269269637262
input_l2_narrow_b4,2,narrow,4,16,16,8,uniform_10k,10000,0.021293094632344307,0.015713451708516464,0.06607715727574248,0.0016669211962868377
input_l2_narrow_b4,2,narrow,4,16,16,8,boundaries,1733,0.027984635425168016,0.02076005091003986,0.05935658310772852,-0.004587502016427587
input_l2_narrow_b4,2,narrow,4,16,16,8,signed_safe,100,10318.014680272054,0.014941088354061287,0.04791026973008803,1563.3078363697082
input_l2_mask_b5,2,mask,5,16,16,8,uniform_100k,100000,0.011106832352853622,0.008209560788874857,0.04339228998983676,-2.033999198158663e-05
input_l2_mask_b5,2,mask,5,16,16,8,uniform_10k,10000,0.011149651698447893,0.008259930305542984,0.040736766580718585,-8.188556640847491e-05
input_l2_mask_b5,2,mask,5,16,16,8,boundaries,1733,0.014197469487272725,0.010316351827371542,0.037109283171585405,-0.002227170740280731
input_l2_mask_b5,2,mask,5,16,16,8,signed_safe,100,4030.5173045407378,0.008048918850447718,0.02949548573000397,422.4787111778119
input_l2_narrow_b5,2,narrow,5,16,16,8,uniform_100k,100000,0.011106832352853622,0.008209560788874857,0.04339228998983676,-2.033999198158663e-05
input_l2_narrow_b5,2,narrow,5,16,16,8,uniform_10k,10000,0.011149651698447893,0.008259930305542984,0.040736766580718585,-8.188556640847491e-05
input_l2_narrow_b5,2,narrow,5,16,16,8,boundaries,1733,0.014197469487272725,0.010316351827371542,0.037109283171585405,-0.002227170740280731
input_l2_narrow_b5,2,narrow,5,16,16,8,signed_safe,100,4030.5173045407378,0.008048918850447718,0.02949548573000397,422.4787111778119
input_l2_mask_b6,2,mask,6,16,16,8,uniform_100k,100000,0.006778125996589425,0.004930412386883546,0.03392250597340904,-0.0009043094133683055
input_l2_mask_b6,2,mask,6,16,16,8,uniform_10k,10000,0.006889334719126983,0.004977770487592726,0.030693739418169292,-0.0009024147412131624
input_l2_mask_b6,2,mask,6,16,16,8,boundaries,1733,0.008120692682867884,0.005748644739584245,0.025190209138352727,-0.0008940121889066684
input_l2_mask_b6,2,mask,6,16,16,8,signed_safe,100,1259.26301523905,0.004891788249710706,0.018960947072128788,-110.81574397042526
input_l2_narrow_b6,2,narrow,6,16,16,8,uniform_100k,100000,0.006778125996589425,0.004930412386883546,0.03392250597340904,-0.0009043094133683055
input_l2_narrow_b6,2,narrow,6,16,16,8,uniform_10k,10000,0.006889334719126983,0.004977770487592726,0.030693739418169292,-0.0009024147412131624
input_l2_narrow_b6,2,narrow,6,16,16,8,boundaries,1733,0.008120692682867884,0.005748644739584245,0.025190209138352727,-0.0008940121889066684
input_l2_narrow_b6,2,narrow,6,16,16,8,signed_safe,100,1259.26301523905,0.004891788249710706,0.018960947072128788,-110.81574397042526
input_l2_mask_b7,2,mask,7,16,16,8,uniform_100k,100000,0.005286910112230799,0.0036413991796571503,0.029231251009329478,-0.0013412161516495552
