dataset,design,level,drop,retained_difference_fraction_bits,cases,mae,mred,rmse,mean_error,max_relative,author_normalizer_out_of_range_cases,equation27_normalized_rmse,equation27_mred
targeted_boundaries,pace_z_l4_d8,4,8,15,2869,0.0009027696389935654,0.0014847144976139833,0.009062759269666121,0.0005091650080462576,0.24609367572702467,15,0.001815396026055842,0.0002797602590078602
targeted_boundaries,pace_z_l4_d12,4,12,11,2869,0.000997343979905102,0.001578013423964183,0.009070933809984794,0.00039479578600958145,0.24609367572702467,15,0.001856335342632242,0.00037312670432402547
targeted_boundaries,pace_z_l4_d14,4,14,9,2869,0.0013940636818389259,0.001970909249242838,0.009125741630990851,-1.1746699820220498e-05,0.24609367572702467,15,0.002107913905922135,0.0007660225296026767
targeted_boundaries,pace_z_l4_d15,4,15,8,2869,0.001962109718490695,0.002533944501484466,0.009263943248991983,-0.0005818265471646785,0.24609367572702467,15,0.002642874427536108,0.0013290577818443046
targeted_boundaries,pace_z_l4_d16,4,16,7,2869,0.003138758127311782,0.003700747387188347,0.009755571456765316,-0.0017625451562455878,0.24609367572702467,15,0.004041697065247991,0.0024958606675481855
targeted_boundaries,pace_z_l4_d17,4,17,6,2869,0.0055731701948635035,0.006116174970012491,0.011471452777778213,-0.004205100203191393,0.24609367572702467,15,0.007263495684033664,0.004911288250372335
targeted_boundaries,pace_z_l4_d18,4,18,5,2869,0.010604227408660485,0.011112108428162019,0.01667139374776457,-0.009252445954650964,0.24609367572702467,15,0.01411026258480626,0.009907221708521844
signed_exponents,pace_z_l1_d0,1,0,23,1000,2399325.1973597296,0.026679010582396114,40687145.63166914,-977747.277009913,0.12401785216911429,0,0.04703321642596328,0.026679002100177377
signed_exponents,pace_z_l1_d4,1,4,19,1000,2399315.0486259665,0.02667892873443867,40687134.53006196,-977754.6573065185,0.12401809115491749,0,0.04703338463202713,0.02667892873443867
signed_exponents,pace_z_l1_d8,1,8,15,1000,2399131.8009463577,0.02667788681315017,40690012.174688,-977718.0113102435,0.12401952506973668,0,0.047035998672914386,0.02667788681315017
signed_exponents,pace_z_l1_d12,1,12,11,1000,2397044.2710608733,0.026664178612209037,40757584.496646,-979430.299896047,0.12401952506973668,0,0.047074334971998706,0.026664178612209037
signed_exponents,pace_z_l1_d14,1,14,9,1000,2384382.249127807,0.026649906474349186,40926383.60711452,-992176.5451074003,0.1243866072634496,0,0.047221257299075343,0.026649906474349186
signed_exponents,pace_z_l1_d15,1,15,8,1000,2364676.0136001436,0.02662217502314343,40904445.169833824,-994373.2325914048,0.1243866072634496,0,0.047412588399684145,0.02662217502314343
signed_exponents,pace_z_l1_d16,1,16,7,1000,2367254.694157771,0.026701737877073996,41650318.11363315,-1014237.5371704644,0.12585493603830128,0,0.04787960907408329,0.026701737877073996
signed_exponents,pace_z_l1_d17,1,17,6,1000,2451883.1680510305,0.027048355985262628,41858854.79704438,-935206.1776101381,0.12879159358800463,0,0.048884339811556064,0.027048355985262628
signed_exponents,pace_z_l1_d18,1,18,5,1000,2567183.462231254,0.028542393155292535,42096530.9718344,-910331.0436189345,0.13466490868741135,0,0.0512524678484252,0.028542393155292535
signed_exponents,pace_z_l2_d0,2,0,23,1000,1035752.7370502484,0.014677995081393945,12119617.614345172,-239822.74057768987,0.08046520164257479,0,0.02220493916978145,0.014677990020260226
signed_exponents,pace_z_l2_d4,2,4,19,1000,1035741.3972164659,0.014677877878833616,12119595.182452234,-239830.8609720581,0.08046448169714414,0,0.022205008984328267,0.014677877878833616
signed_exponents,pace_z_l2_d8,2,8,15,1000,1035658.530865132,0.01467595980564405,12122686.768283566,-239815.59834001557,0.0804546081598096,0,0.02220574950701115,0.01467595980564405
signed_exponents,pace_z_l2_d12,2,12,11,1000,1037119.3406010631,0.014649283060921508,12203465.127098568,-241983.1383040024,0.08013865496510453,0,0.022218461616131727,0.014649283060921508
signed_exponents,pace_z_l2_d14,2,14,9,1000,1030883.4955416145,0.014581634353847656,12392861.382412521,-256398.4787936433,0.08013865496510453,0,0.02227950253814153,0.014581634353847656
signed_exponents,pace_z_l2_d15,2,15,8,1000,1024031.5277249281,0.014534829589215516,12412540.081787115,-259106.1817910509,0.07845357126001076,0,0.022356105040606443,0.014534829589215516
signed_exponents,pace_z_l2_d16,2,16,7,1000,1083117.8942059746,0.014580551090116288,13346801.41262803,-283036.9901429972,0.07845357126001076,0,0.02266763910513198,0.014580551090116288
signed_exponents,pace_z_l2_d17,2,17,6,1000,1261863.5050311957,0.01496381372640254,14064040.801757101,-210040.0570182628,0.07845357126001076,0,0.023634170268698688,0.01496381372640254
signed_exponents,pace_z_l2_d18,2,18,5,1000,1475231.3725582326,0.016569160451193547,14994400.85748614,-172532.9055407652,0.07845357126001076,0,0.026272625221177,0.016569160451193547
