dataset,design,level,drop,retained_difference_fraction_bits,cases,mae,mred,rmse,mean_error,max_relative,author_normalizer_out_of_range_cases,equation27_normalized_rmse,equation27_mred,area_um2,delay_ns,slack_ns,power_mw,dc_report,pt_dir,scope,adp_um2_ns,gate_vectors,status
uniform_100k,pace_z_l3_d16,3,16,7,100000,0.006420839854100905,0.006031241559758383,0.009350274824308743,-0.0013349769853897811,0.2394140222463604,5,0.009311943071084787,0.006020146147626413,1173.960007,3.10725,6.87275,0.0518207,experiments/pace_difference_truncation/dc/pace_z_l3_d16/pace_z_l3_d16.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l3_d16,figure8_count_range,3647.78723175075,4869,pass
uniform_100k,pace_z_l3_d17,3,17,6,100000,0.007748562647915016,0.00730073779738451,0.010514007708797412,-0.004032988612587129,0.23744414887066018,5,0.010480687273890316,0.007290134205624175,1096.920007,3.08312,6.89688,0.047174600000000004,experiments/pace_difference_truncation/dc/pace_z_l3_d17/pace_z_l3_d17.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l3_d17,figure8_count_range,3381.93601198184,4869,pass
uniform_100k,pace_z_l3_d18,3,18,5,100000,0.011656078837973132,0.011208898598488882,0.014941455914938789,-0.009392357509071381,0.23744414887066018,46,0.014744845695527864,0.011121264856684718,1020.960007,3.09744,6.88256,0.042119800000000006,experiments/pace_difference_truncation/dc/pace_z_l3_d18/pace_z_l3_d18.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l3_d18,extra_stress,3162.36236408208,4869,pass
uniform_100k,pace_z_l4_d0,4,0,23,100000,0.0038530492369118416,0.003802856911126312,0.005937653268606442,0.0018179546482018588,0.24037140393534576,5,0.005876461165530487,0.0037915186681182515,3098.880012,3.00937,6.97063,0.175699,experiments/pace_difference_truncation/dc/pace_z_l4_d0/pace_z_l4_d0.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l4_d0,figure8_count_range,9325.67654171244,4869,pass
uniform_100k,pace_z_l4_d4,4,4,19,100000,0.0038529297731777637,0.003802717128117559,0.005937474651151477,0.0018174081111601947,0.24037128556708623,5,0.00587625577392771,0.003791362012223484,2962.080012,3.10833,6.87167,0.165761,experiments/pace_difference_truncation/dc/pace_z_l4_d4/pace_z_l4_d4.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l4_d4,figure8_count_range,9207.12216369996,4869,pass
uniform_100k,pace_z_l4_d8,4,8,15,100000,0.0038508036588255187,0.0038002512041774737,0.0059342060132980875,0.0018075522655896315,0.24036465694455172,5,0.005872939641019502,0.003788886494731772,2670.120013,3.25285,6.72715,0.143685,experiments/pace_difference_truncation/dc/pace_z_l4_d8/pace_z_l4_d8.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l4_d8,figure8_count_range,8685.49988428705,4869,pass
uniform_100k,pace_z_l4_d12,4,12,11,100000,0.0038247779455942896,0.003768622836608441,0.005885794567467922,0.001649172766273416,0.24025694182836646,5,0.0058240617749812235,0.003757275415147337,2200.680012,3.32925,6.65075,0.10965599999999999,experiments/pace_difference_truncation/dc/pace_z_l4_d12/pace_z_l4_d12.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l4_d12,figure8_count_range,7326.613929951,4869,pass
uniform_100k,pace_z_l4_d14,4,14,9,100000,0.0038059368102243683,0.0037327884093438656,0.005766619513658731,0.0011424026609114864,0.24025694182836646,5,0.0057036768665537025,0.003721471714404498,1927.080011,3.31746,6.66254,0.09093689999999999,experiments/pace_difference_truncation/dc/pace_z_l4_d14/pace_z_l4_d14.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l4_d14,figure8_count_range,6393.01085329206,4869,pass
uniform_100k,pace_z_l4_d15,4,15,8,100000,0.003892804134534783,0.003797556092413528,0.005705538640932134,0.0004685922742537636,0.24025694182836646,5,0.005642109642208919,0.0037863131521917465,1813.320011,3.27278,6.70722,0.08092139999999999,experiments/pace_difference_truncation/dc/pace_z_l4_d15/pace_z_l4_d15.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l4_d15,figure8_count_range,5934.59746560058,4869,pass
uniform_100k,pace_z_l4_d16,4,16,7,100000,0.004322302774396419,0.004189525640938446,0.005912331691596479,-0.0008804216265030644,0.2394140222463604,5,0.005851522066990595,0.004178430228806473,1697.040011,3.30101,6.67899,0.0770492,experiments/pace_difference_truncation/dc/pace_z_l4_d16/pace_z_l4_d16.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l4_d16,figure8_count_range,5601.94604671111,4869,pass
uniform_100k,pace_z_l4_d17,4,17,6,100000,0.005836176207874207,0.005664516383180623,0.007408506722028967,-0.003585462977821476,0.23744414887066018,5,0.007361142539224688,0.005653912791420285,1581.12001,3.31046,6.66954,0.0702074,experiments/pace_difference_truncation/dc/pace_z_l4_d17/pace_z_l4_d17.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l4_d17,extra_stress,5234.2345483046,4869,pass
uniform_100k,pace_z_l4_d18,4,18,5,100000,0.010260714558119482,0.010116855643657465,0.012710335011197938,-0.008959501063758899,0.23744414887066018,46,0.012478621150742246,0.010029221901853274,1466.28001,3.3389,6.6411,0.0626738,experiments/pace_difference_truncation/dc/pace_z_l4_d18/pace_z_l4_d18.dc.rpt,experiments/pace_difference_truncation/pt/pace_z_l4_d18,extra_stress,4895.762325389,4869,pass
