top,level,kind,dataset,count,mred,rmse,mae,mean_error,max_relative,p99_relative
abs_l2_control,2,control,independent_200k,200000,0.003651186767675607,0.005312987563054353,0.0038198913735960844,-0.0013641355827259687,0.02958664709209365,0.015183430012495544
abs_l2_no_w,2,unabsorbed,random_200k,200000,0.0034776286479155398,0.005016175795318324,0.0037111104313315856,0.00034365823370658565,0.02714644024489503,0.012716607720014126
abs_l2_no_w,2,unabsorbed,boundary_grid,131072,0.003375846787726177,0.0048800908517073905,0.003607089991575003,0.00034022279797537273,0.026248688074955163,0.012467289529628542
abs_l2_no_w,2,unabsorbed,signed,2000,0.003481508412554117,2372550.414236645,183962.02899226217,80582.37279451067,0.02005992793908412,0.01298323671802865
abs_l2_no_w,2,unabsorbed,cell_edges_diagonal,10718,0.003103189654829062,0.004101914724002898,0.0031732246815863122,0.002149871777320624,0.024276640346206697,0.011151192975247451
abs_l2_no_w,2,unabsorbed,independent_200k,200000,0.003477896184077195,0.005002964418322341,0.0037081724295369815,0.00033576380463365055,0.026694079800918022,0.01277676822720346
abs_l2_exact,2,exact,random_200k,200000,0.0034776286479155398,0.005016175795318324,0.0037111104313315856,0.00034365823370658565,0.02714644024489503,0.012716607720014126
abs_l2_exact,2,exact,boundary_grid,131072,0.003375846787726177,0.0048800908517073905,0.003607089991575003,0.00034022279797537273,0.026248688074955163,0.012467289529628542
abs_l2_exact,2,exact,signed,2000,0.003481508412554117,2372550.414236645,183962.02899226217,80582.37279451067,0.02005992793908412,0.01298323671802865
abs_l2_exact,2,exact,cell_edges_diagonal,10718,0.003103189654829062,0.004101914724002898,0.0031732246815863122,0.002149871777320624,0.024276640346206697,0.011151192975247451
abs_l2_exact,2,exact,independent_200k,200000,0.003477896184077195,0.005002964418322341,0.0037081724295369815,0.00033576380463365055,0.026694079800918022,0.01277676822720346
abs_l2_inherited_s5,2,quantized,random_200k,200000,0.0035682774016631436,0.005105117794749976,0.0037783433336921143,0.0003537682495757263,0.03113542103033977,0.013587557073310925
abs_l2_inherited_s5,2,quantized,boundary_grid,131072,0.003466805186235801,0.004969832725418718,0.00367384739009376,0.0003492827039812321,0.030413465229969256,0.013413736100366933
abs_l2_inherited_s5,2,quantized,signed,2000,0.003529746185671014,2783810.583762599,203284.8553017641,98597.0044369827,0.023740506130959294,0.013944530377990927
