top,level,family,s,mred,rmse,mae,mean_error,max_relative,p99_relative
abs_l2_calibrated_s4,2,calibrated,4,0.003914941597289783,0.005407067642087845,0.004090310441317837,0.0002735838171519803,0.028428644385484127,0.014312148434177191
abs_l2_calibrated_s5,2,calibrated,5,0.0035804343926367646,0.005103258369850581,0.003785804843902435,0.0003105573233642148,0.031040219198535158,0.013726728535666125
abs_l2_calibrated_s6,2,calibrated,6,0.0035004296415103754,0.005038765978748077,0.003737866133194143,0.00035807526376624573,0.02655567840494615,0.01260583100994547
abs_l2_calibrated_s7,2,calibrated,7,0.0034982370529816928,0.0050186958655206206,0.0037250861686041878,0.00031212660190244187,0.026630420751505967,0.012858757560879416
abs_l2_calibrated_s8,2,calibrated,8,0.0034901511510667814,0.0050135938239101825,0.003720437591393363,0.00030816568699260224,0.026630420751505967,0.012662214401333484
abs_l2_calibrated_s9,2,calibrated,9,0.003487960383220047,0.005011992720943178,0.0037186157032346712,0.00030786836226065625,0.027190988350704593,0.012704594763843566
abs_l2_calibrated_s10,2,calibrated,10,0.003490219348111365,0.005011420024378533,0.0037190427636991743,0.00030833309222538937,0.027190988350704593,0.01274697727408746
abs_l2_calibrated_s11,2,calibrated,11,0.0034881969295013906,0.005012088406765804,0.003718706643309096,0.00030842290664617885,0.027050846450904935,0.01270732210606662
abs_l2_calibrated_s12,2,calibrated,12,0.0034881969295013906,0.005012088406765804,0.003718706643309096,0.00030842290664617885,0.027050846450904935,0.01270732210606662
abs_l3_inherited_s2,3,inherited,2,0.003912955405751643,0.004909080186195639,0.0038986966846005127,0.0008135720964946317,0.02248116527857027,0.01324254692514552
abs_l3_inherited_s3,3,inherited,3,0.0029509564940825243,0.0038104815703681894,0.0030072710728489497,0.0006016477819957303,0.01711672000669885,0.00931586284468818
abs_l3_inherited_s4,3,inherited,4,0.002562563422590965,0.0034235013119322043,0.0026533005730009023,0.0006976708647288846,0.012795583174674214,0.007894033199120248
abs_l3_inherited_s5,3,inherited,5,0.002498344562396959,0.0033473824932715095,0.0025900010886919633,0.0006650224205531644,0.012010277570206736,0.007687048954242393
abs_l3_inherited_s6,3,inherited,6,0.0024672989678705707,0.0033141340152471055,0.0025619012224192736,0.0006843138363637494,0.011178636389710277,0.007570048290498437
abs_l3_inherited_s7,3,inherited,7,0.002469112139117692,0.0033126311236910963,0.002561469073855264,0.0006749773275532292,0.011282591537272334,0.007591492711323801
abs_l3_inherited_s8,3,inherited,8,0.0024690276702509046,0.003312049362605785,0.002561183734255467,0.0006733028095640706,0.011282591537272334,0.007586380243973793
abs_l3_inherited_s9,3,inherited,9,0.0024672701243434337,0.003309143165776156,0.0025591214055089226,0.0006671272095717954,0.0114464517741294,0.007570341288041111
abs_l3_inherited_s10,3,inherited,10,0.0024666518110811626,0.0033088504209669006,0.002558746977663795,0.0006669783143751787,0.011236586889600206,0.007567919698681137
abs_l3_inherited_s11,3,inherited,11,0.002466592260639315,0.0033087758481504287,0.0025587334245446625,0.0006669536925346123,0.011236586889600206,0.0075674130708651074
abs_l3_inherited_s12,3,inherited,12,0.0024665153361847036,0.0033087370537374615,0.002558658785879581,0.000666925956584187,0.011236586889600206,0.007566230918848213
abs_l3_calibrated_s2,3,calibrated,2,0.003912955405751643,0.004909080186195639,0.0038986966846005127,0.0008135720964946317,0.02248116527857027,0.01324254692514552
abs_l3_calibrated_s3,3,calibrated,3,0.0029509564940825243,0.0038104815703681894,0.0030072710728489497,0.0006016477819957303,0.01711672000669885,0.00931586284468818
abs_l3_calibrated_s4,3,calibrated,4,0.002562563422590965,0.0034235013119322043,0.0026533005730009023,0.0006976708647288846,0.012795583174674214,0.007894033199120248
abs_l3_calibrated_s5,3,calibrated,5,0.002498344562396959,0.0033473824932715095,0.0025900010886919633,0.0006650224205531644,0.012010277570206736,0.007687048954242393
abs_l3_calibrated_s6,3,calibrated,6,0.0024672989678705707,0.0033141340152471055,0.0025619012224192736,0.0006843138363637494,0.011178636389710277,0.007570048290498437
abs_l3_calibrated_s7,3,calibrated,7,0.002469112139117692,0.0033126311236910963,0.002561469073855264,0.0006749773275532292,0.011282591537272334,0.007591492711323801
abs_l3_calibrated_s8,3,calibrated,8,0.0024690276702509046,0.003312049362605785,0.002561183734255467,0.0006733028095640706,0.011282591537272334,0.007586380243973793
abs_l3_calibrated_s9,3,calibrated,9,0.0024672701243434337,0.003309143165776156,0.0025591214055089226,0.0006671272095717954,0.0114464517741294,0.007570341288041111
abs_l3_calibrated_s10,3,calibrated,10,0.0024666518110811626,0.0033088504209669006,0.002558746977663795,0.0006669783143751787,0.011236586889600206,0.007567919698681137
abs_l3_calibrated_s11,3,calibrated,11,0.002466592260639315,0.0033087758481504287,0.0025587334245446625,0.0006669536925346123,0.011236586889600206,0.0075674130708651074
abs_l3_calibrated_s12,3,calibrated,12,0.0024665153361847036,0.0033087370537374615,0.002558658785879581,0.000666925956584187,0.011236586889600206,0.007566230918848213
