level,residual_drop,variant,cases,mae,mred,rmse,mean_error,mae_change_pct,mred_change_pct,rmse_change_pct,cost_proxy,within_10pct
1,20,round_nearest,250000,0.06541105805603747,0.03079906263869218,0.08037349217647839,-8.227348362589737e-07,318.630847522355,304.7087846320507,285.7804755658636,28,no
2,0,current_oadm,250000,0.003906749867224488,0.0018876729330830522,0.005208999721793081,-1.288337711015629e-06,0.0,0.0,0.0,,yes
2,4,floor,250000,0.003906750695255861,0.001887675757590419,0.005209000068679049,-3.6608696018847697e-06,2.1194890931219845e-05,0.0001496290653602017,6.659358531280191e-06,204,yes
2,4,midpoint_bias,250000,0.003906750695255861,0.001887675757590419,0.005209000068679049,-3.6608696018847697e-06,2.1194890931219845e-05,0.0001496290653602017,6.659358531280191e-06,210,yes
2,4,round_nearest,250000,0.003906750034851563,0.0018876724695331246,0.005209000277218903,-8.227348362597695e-07,4.29070405871812e-06,-2.4556686673005146e-05,1.0662811522621496e-05,238,yes
2,6,floor,250000,0.003906764432574778,0.0018876778827749535,0.005209000237158444,-1.217527389875977e-05,0.0003728252584656033,0.0002622113086658828,9.893749108869088e-06,180,yes
2,6,midpoint_bias,250000,0.003906747069352506,0.0018876560978238097,0.005208985851504912,-7.311821018847695e-07,-7.161635827701573e-05,-0.0008918525528089916,-0.00026627546381163825,186,yes
2,6,round_nearest,250000,0.003906756900887877,0.0018876921544141723,0.0052090111908839,-8.227348362597695e-07,0.00018003874393546226,0.0010182553758841806,0.00022017837266741225,210,yes
2,8,floor,250000,0.003907130466976374,0.001887854929078566,0.005209217501828131,-4.6232891086259766e-05,0.009742106989740762,0.009641288611184073,0.004180841748535613,156,yes
2,8,midpoint_bias,250000,0.003906774825585725,0.0018876401656889358,0.005209008945450207,-4.565238987597695e-07,0.0006388522962863519,-0.0017358618403684467,0.00017707156112489741,162,yes
2,8,round_nearest,250000,0.003906776410899201,0.0018876488176494783,0.005209001128631617,-8.227348362597695e-07,0.0006794311285585053,-0.001277521818066063,2.7007844338733378e-05,182,yes
2,10,floor,250000,0.00391384630211709,0.0018911290934924808,0.005212847870101725,-0.00018246335983625978,0.18164548880228448,0.18309106142575526,0.07387499547262255,132,yes
2,10,midpoint_bias,250000,0.003907833077546573,0.0018882254479114754,0.005209598719271499,6.421089137402305e-07,0.027726636178382336,0.02926962710223524,0.011499280292004421,138,yes
2,10,round_nearest,250000,0.003907641999633452,0.0018879464939721364,0.005209508680287178,-8.227348362597695e-07,0.02283566748024768,0.014491964380569655,0.009770752952209527,154,yes
2,12,floor,250000,0.003993470196588577,0.0019271194421160303,0.005268703005748227,-0.0007273852348362597,2.2197563783549423,2.0896898155207344,1.1461564051417295,108,yes
2,12,midpoint_bias,250000,0.003923742397166778,0.0018951944219368537,0.0052173755612976765,5.036640163740231e-06,0.43495310730918835,0.398452969366736,0.16079554524746076,114,yes
2,12,round_nearest,250000,0.003919883979156927,0.001893821334803233,0.00521832559380946,-8.227348362597695e-07,0.33619024454643043,0.32571329558341855,0.17903383594670697,126,yes
2,14,floor,250000,0.004853953917244271,0.0023099929501163687,0.006093335417655357,-0.0029070727348362597,24.24532110351656,22.37252066456026,16.977073202028592,84,no
2,14,midpoint_bias,250000,0.004054270243863334,0.0019446905502398472,0.005341494797550181,2.261476516374023e-05,3.7760384373840328,3.0205241680120176,2.54358001216195,90,yes
2,14,round_nearest,250000,0.004124455556072654,0.0019916882281777876,0.005352496973363578,-8.227348362597695e-07,5.572552537202324,5.510239261885896,2.7547947635731873,98,yes
2,16,floor,250000,0.011956782819271794,0.0055595983509575345,0.013719425569509471,-0.01162582273483626,206.05447560343487,194.52127291337968,163.37927245630314,60,no
2,16,midpoint_bias,250000,0.005680035472065303,0.0026845544594629096,0.007122187341766967,9.292726516374024e-05,45.39030306797267,42.21502106714781,36.72850301699218,66,no
2,16,round_nearest,250000,0.005682499041090358,0.002688779635255472,0.007124307116835638,-8.227348362597695e-07,45.45336236556743,42.43885093293189,36.76919749159164,70,no
2,18,floor,250000,0.04652333364458414,0.021509721678148377,0.051043002960229074,-0.04650082273483626,1090.8449536247426,1039.4835037983783,879.900281942397,36,no
2,18,midpoint_bias,250000,0.016371319893685076,0.007606378624721429,0.020141134834544525,0.00037417726516374036,319.0521648450434,302.95002865238257,286.660316956427,42,no
2,18,round_nearest,250000,0.016385826267456657,0.0076311740519553455,0.020155471020390475,-8.227348362597695e-07,319.42348049781356,304.2635733242034,286.9355365112673,42,no
2,20,floor,250000,0.18600082273483623,0.08499722140887664,0.20317157323012433,-0.18600082273483623,4661.011814328894,4402.751505264975,3800.3951637798723,12,no
2,20,midpoint_bias,250000,0.063542149405391,0.029485615991841505,0.07800028756729147,0.001499177265163742,1526.4708917884705,1462.0087291119844,1397.4139322941187,18,no
2,20,round_nearest,250000,0.06361559786692801,0.029566178009697203,0.07806192333696661,-8.227348362589737e-07,1528.350931822597,1466.2765244722814,1398.5971876783965,14,no
3,0,current_oadm,250000,0.0009766870699639914,0.0004709387251252673,0.0013022496722908045,-6.498642002734414e-07,0.0,0.0,0.0,,yes
3,4,floor,250000,0.00097669082275984,0.0004709414818575998,0.0013022509191313912,-2.9463901554736365e-06,0.00038423728172531924,0.0005853696426694199,9.574512578325312e-05,192,yes
3,4,midpoint_bias,250000,0.00097669082275984,0.0004709414818575998,0.0013022509191313912,-2.9463901554736365e-06,0.00038423728172531924,0.0005853696426694199,9.574512578325312e-05,198,yes
3,4,round_nearest,250000,0.0009766871006741033,0.0004709379931561009,0.001302250750307164,-1.0919094435303123e-07,3.144314386638314e-06,-0.0001554276867321569,8.278108127868222e-05,224,yes
3,6,floor,250000,0.0009767720937193904,0.000470970346781949,0.0013022949626788564,-1.142148971907227e-05,0.00870532210508479,0.006714601071156068,0.0034778575119354116,168,yes
3,6,midpoint_bias,250000,0.0009766850833974306,0.00047092752314796,0.001302243868752937,1.878738053710549e-08,-0.00020339847038863823,-0.0023786485820020964,-0.0004456547765707697,174,yes
3,6,round_nearest,250000,0.0009767113470674495,0.00047095145978490194,0.0013022572205860657,-7.27348362597695e-08,0.0024856583244359243,0.0027041011824380234,0.0005796350286635388,196,yes
3,8,floor,250000,0.0009784645561898284,0.0004717380575303158,0.0013031973560384854,-4.546775436750977e-05,0.18199137477090677,0.16973172143275317,0.07277281521704815,144,yes
