candidate,reference,mred_change_pct,rmse_change_pct,area_change_pct,delay_change_pct,power_change_pct,adp_change_pct,both_errors_no_worse,strict_adp_win
stdm_tune_05_csd,oadm_fixed_l0_div_specialized,-92.63896813860833,-92.90905555759035,432.17269899278324,81.76356809648424,654.1506299882511,867.2960861246455,True,False
stdm_input_mask6,oadm_fixed_l0_div_specialized,-87.98433437611277,-88.6925993246926,240.32033278922677,72.93776311298213,209.0066037353644,488.54237094434535,True,False
stdm_input_mask6_narrow,oadm_fixed_l0_div_specialized,-87.98433437611277,-88.6925993246926,205.57103001724673,54.737171464330416,157.4768058987968,372.83196866310766,True,False
stdm_input_effective17,oadm_fixed_l0_div_specialized,-87.98433437611277,-88.6925993246926,207.03342516222975,46.351689612015015,160.89251711704415,349.348605398565,True,False
stdm_tune_00_midpoint,oadm_fixed_l0_div_specialized,-89.36875981645662,-88.5122367631887,140.38997183232763,54.420866992831954,136.38982295507026,271.2122786673049,True,False
stdm_tune_04_midpoint,oadm_fixed_l0_div_specialized,-92.88835068445024,-91.89329050812641,185.933146773962,57.60040960291275,205.35672325082038,350.63181050626184,True,False
stdm_tune_05_midpoint,oadm_fixed_l0_div_specialized,-92.63896813860833,-92.90905555759035,264.48467877990805,58.98338832631698,154.47879107077745,479.4700922545903,True,False
stdm_tune_00,oadm_fixed_l1_div_specialized,-57.91225854651447,-59.87770416107892,19.936306121895853,-2.496495141285582,-2.0958577144645107,16.942102066925322,True,False
stdm_tune_01,oadm_fixed_l1_div_specialized,-52.36296596982414,-57.84925558861489,39.61783437822586,7.514269121362438,12.667506118271987,50.10909419482383,True,False
stdm_tune_02,oadm_fixed_l1_div_specialized,-68.89918003244566,-69.38985187626605,34.33121054229156,3.6768649732372927,15.899344411474381,39.270387770846725,True,False
stdm_tune_03,oadm_fixed_l1_div_specialized,-64.16046655152766,-71.41127445590908,57.45222941228177,9.374895963956353,18.112201323270007,72.21321211261306,True,False
stdm_tune_04,oadm_fixed_l1_div_specialized,-71.84587568964558,-71.68641189688853,43.503184951778515,4.113723880017295,26.978896307571844,49.406509739725266,True,False
stdm_tune_05,oadm_fixed_l1_div_specialized,-70.85860158698229,-75.23408475341414,60.764331314319705,12.286425561979586,20.715962530024502,80.51652121146785,True,False
stdm_tune_06,oadm_fixed_l1_div_specialized,295.88741037602716,249.26116609326962,-54.26751569108055,-34.97793511110125,-62.77309260320191,-70.26379437734896,False,False
stdm_tune_07,oadm_fixed_l1_div_specialized,245.31542549006198,197.8755555214884,-43.152866127513626,-22.948594172501934,-61.02838364248431,-56.1984841786094,False,False
stdm_tune_08,oadm_fixed_l1_div_specialized,259.1759752922181,199.2039683839804,-37.26114622099836,-23.956217933779456,-58.58621435038993,-52.291002761451225,False,False
stdm_tune_09,oadm_fixed_l1_div_specialized,254.1702964546856,208.74559698364874,-34.7770696175414,-21.791158508391316,-56.33753210297743,-48.989901761000674,False,False
stdm_tune_10,oadm_fixed_l1_div_specialized,0.0,0.0,0.0,0.0,-0.021918454280367428,0.0,True,False
stdm_tune_11,oadm_fixed_l1_div_specialized,-10.315079792796878,-21.523035188870477,6.719745912810304,-3.147899489159911,-18.4125597277879,3.3603155763882064,True,False
stdm_tune_12,oadm_fixed_l1_div_specialized,-10.035215765536309,-24.38289222439477,28.15286687503662,-2.8771283462615482,-9.232052942892599,24.465744415628123,True,False
stdm_tune_13,oadm_fixed_l1_div_specialized,-78.79738209454543,-81.168280220638,68.34394904013459,16.897672921775996,29.000231277483103,96.79015893253779,True,False
stdm_tune_00_narrow,oadm_fixed_l1_div_specialized,-57.91225854651447,-59.87770416107892,19.171975090661796,-1.9445954893670625,-6.863045939568546,16.85456223845916,True,False
stdm_tune_02_narrow,oadm_fixed_l1_div_specialized,-68.89918003244566,-69.38985187626605,33.949045026674504,-1.7000876677061072,10.42139362067167,31.67179383116594,True,False
stdm_tune_04_narrow,oadm_fixed_l1_div_specialized,-71.84587568964558,-71.68641189688853,42.197452471167416,6.059059181250204,19.66584182736422,50.8132802706256,True,False
stdm_tune_05_narrow,oadm_fixed_l1_div_specialized,-70.85860158698229,-75.23408475341414,50.06369466543605,1.7574230873088847,6.860173866249042,52.700948681155154,True,False
stdm_tune_06_narrow,oadm_fixed_l1_div_specialized,295.88741037602716,249.26116609326962,-52.388534804347486,-32.933095113912536,-60.499166342928575,-68.06846392235909,False,False
stdm_tune_10_narrow,oadm_fixed_l1_div_specialized,0.0,0.0,16.65605099967433,0.39616925415866255,1.1299341085915682,17.11820640685069,True,False
stdm_tune_13_narrow,oadm_fixed_l1_div_specialized,-78.79738209454543,-81.168280220638,57.51592385655717,6.36423157591024,15.567695523949299,67.54060201972294,True,False
stdm_tune_00_binary,oadm_fixed_l1_div_specialized,-57.91225854651447,-59.87770416107892,39.04458632596093,8.608450870943528,40.65888385184333,51.01417122853793,True,False
stdm_tune_00_csd,oadm_fixed_l1_div_specialized,-57.91225854651447,-59.87770416107892,49.39490476982953,5.83267675030239,50.056156591483855,58.108626646475784,True,False
stdm_tune_05_binary,oadm_fixed_l1_div_specialized,-70.85860158698229,-75.23408475341414,155.76433097373234,16.32246919608342,220.3223373234998,197.5113851114887,True,False
stdm_tune_05_csd,oadm_fixed_l1_div_specialized,-70.85860158698229,-75.23408475341414,143.3757960632277,18.186425192073653,181.38306958126682,187.6371531498804,True,False
stdm_input_mask6,oadm_fixed_l1_div_specialized,-52.43149252215036,-60.50764054658314,55.636942792895596,12.447704548733252,15.294243911582473,75.01016960043623,True,False
stdm_input_mask6_narrow,oadm_fixed_l1_div_specialized,-52.43149252215036,-60.50764054658314,39.74522335524091,0.6133040367834353,-3.932170697898685,40.602286451290645,True,False
stdm_input_effective17,oadm_fixed_l1_div_specialized,-52.43149252215036,-60.50764054658314,40.41401298545468,-4.839109414475917,-2.657725952810308,33.61922526383212,True,False
