level,dx,dy,w,b,input_bits,objective,coefficients,mae,mred,rmse,max_relative,p99_relative,cost_proxy
0,14,18,16,8,23,mse,118,0.04464712336670557,0.0450195312495312,0.055887523346137516,0.2736490720410999,0.19023264303098078,156
0,14,18,16,8,23,mred,115,0.040406144019720786,0.039939766583463446,0.06037274382625641,0.2921156210570041,0.2108199487166338,156
0,14,18,16,9,23,mse,235,0.043317796024886765,0.04358398609606334,0.05572616399454083,0.2767268302104173,0.19366386064525626,165
0,14,18,16,9,23,mred,230,0.040406144019720786,0.039939766583463446,0.06037274382625641,0.2921156210570041,0.2108199487166338,165
0,14,18,16,10,23,mse,470,0.043317796024886765,0.04358398609606334,0.05572616399454083,0.2767268302104173,0.19366386064525626,174
0,14,18,16,10,23,mred,460,0.040406144019720786,0.039939766583463446,0.06037274382625641,0.2921156210570041,0.2108199487166338,174
0,14,18,16,11,23,mse,940,0.043317796024886765,0.04358398609606334,0.05572616399454083,0.2767268302104173,0.19366386064525626,183
0,14,18,16,11,23,mred,920,0.040406144019720786,0.039939766583463446,0.06037274382625641,0.2921156210570041,0.2108199487166338,183
0,14,18,18,5,23,mse,15,0.04953048979742267,0.05022694547146861,0.058384160883794466,0.2828524654017771,0.18738714162682654,119
0,14,18,18,6,23,mse,30,0.04953048979742267,0.05022694547146861,0.058384160883794466,0.2828524654017771,0.18738714162682654,126
0,14,18,18,6,23,mred,29,0.04052678083343559,0.040461383165817176,0.058983804494567985,0.30675738322171786,0.21447423690593231,126
0,14,18,18,7,23,mse,59,0.043211849098079076,0.043656296834022904,0.0557798923018387,0.2948049243117475,0.20093068926637941,133
0,14,18,18,7,23,mred,58,0.04052678083343559,0.040461383165817176,0.058983804494567985,0.30675738322171786,0.21447423690593231,133
0,14,18,18,8,23,mse,118,0.043211849098079076,0.043656296834022904,0.0557798923018387,0.2948049243117475,0.20093068926637941,140
0,14,18,18,8,23,mred,116,0.04052678083343559,0.040461383165817176,0.058983804494567985,0.30675738322171786,0.21447423690593231,140
0,14,18,18,9,23,mse,236,0.043211849098079076,0.043656296834022904,0.0557798923018387,0.2948049243117475,0.20093068926637941,147
0,14,18,18,9,23,mred,231,0.040612889674478514,0.04039397813144534,0.06062111584110017,0.30974549794921047,0.21786012381582054,147
0,14,18,18,10,23,mse,472,0.043211849098079076,0.043656296834022904,0.0557798923018387,0.2948049243117475,0.20093068926637941,154
0,14,18,18,10,23,mred,463,0.04052399595438616,0.04038363141933188,0.05976461390046394,0.30825144058546416,0.21616718036087645,154
0,14,18,18,11,23,mse,945,0.04351595473014835,0.04398403516998813,0.05577181980302764,0.29405789562987433,0.20008421753890737,161
0,14,18,18,11,23,mred,925,0.04055841502366611,0.04037874250600686,0.06018359858885559,0.3089984692673373,0.2170136520883485,161
0,14,18,20,5,23,mse,15,0.04420172011119264,0.04560235822326175,0.057879275559282066,0.33094647823391443,0.23151429111361793,109
0,14,18,20,6,23,mse,30,0.04420172011119264,0.04560235822326175,0.057879275559282066,0.33094647823391443,0.23151429111361793,114
0,14,18,20,7,23,mse,60,0.04420172011119264,0.04560235822326175,0.057879275559282066,0.33094647823391443,0.23151429111361793,119
0,14,18,20,7,23,mred,59,0.04323660338556863,0.044325876159830656,0.061602724197320324,0.3420973702633492,0.24432238626172428,119
0,14,18,20,8,23,mse,120,0.04420172011119264,0.04560235822326175,0.057879275559282066,0.33094647823391443,0.23151429111361793,124
0,14,18,20,8,23,mred,118,0.04323660338556863,0.044325876159830656,0.061602724197320324,0.3420973702633492,0.24432238626172428,124
0,14,18,20,9,23,mse,241,0.04511607867538367,0.046555710839890824,0.0577820958567086,0.32815875522655574,0.22831226732659132,129
0,14,18,20,9,23,mred,237,0.04299720987345518,0.04418946952899047,0.06019705603623535,0.3393096472559905,0.2411203624746977,129
0,14,18,20,10,23,mse,482,0.04511607867538367,0.046555710839890824,0.0577820958567086,0.32815875522655574,0.22831226732659132,134
0,14,18,20,10,23,mred,474,0.04299720987345518,0.04418946952899047,0.06019705603623535,0.3393096472559905,0.2411203624746977,134
0,14,18,20,11,23,mse,963,0.04486550142369261,0.046297046590047485,0.057773967199450035,0.32885568597839543,0.229112773273348,139
0,14,18,20,11,23,mred,948,0.04299720987345518,0.04418946952899047,0.06019705603623535,0.3393096472559905,0.2411203624746977,139
0,14,18,22,5,23,mse,16,0.0781865099685606,0.08487726533711845,0.09689560709763564,0.5602681823387686,0.5217474397840737,99
0,14,18,22,6,23,mse,33,0.07864084365381131,0.08477163795071582,0.09642335770504525,0.5465265630368552,0.5068020472773259,102
0,14,18,22,7,23,mse,65,0.0773460468869802,0.0838633572481535,0.09524064991524776,0.553397372687812,0.5142747435306998,105
0,14,18,22,8,23,mse,130,0.0773460468869802,0.0838633572481535,0.09524064991524776,0.553397372687812,0.5142747435306998,108
0,14,18,22,9,23,mse,260,0.0773460468869802,0.0838633572481535,0.09524064991524776,0.553397372687812,0.5142747435306998,111
0,14,18,22,10,23,mse,521,0.07739898499191966,0.08387843121040754,0.09523303328248567,0.5525385214814423,0.513340656499028,114
0,14,18,22,10,23,mred,520,0.0773460468869802,0.0838633572481535,0.09524064991524776,0.553397372687812,0.5142747435306998,114
0,14,18,22,11,23,mse,1041,0.0773690981448974,0.08386777348058227,0.09523125654727005,0.5529679470846272,0.5138077000148639,117
0,14,18,22,11,23,mred,1040,0.0773460468869802,0.0838633572481535,0.09524064991524776,0.553397372687812,0.5142747435306998,117
0,14,20,14,5,23,mse,14,0.04492419996167382,0.04269839742886419,0.06567861494239319,0.2266800153697345,0.17123065940426446,127
