top,dataset,count,mae,mred,rmse,max_relative,p99_relative
stdm_tune_02,signed,2000,185302.0423729514,0.003348543416663859,2038628.597148754,0.019024829034447577,0.013342349786909872
stdm_tune_02,cell_boundaries,2304,0.004136487289533586,0.0038170229987898874,0.005952770081593877,0.023657133451188417,0.01498431591807172
stdm_tune_02,diagonal,8414,0.0027616776053118316,0.0027616776053118316,0.00311611445320938,0.00439453125,0.00439453125
stdm_tune_02,independent_200k,200000,0.0035774381118673813,0.003347633870796877,0.004943615933859547,0.02861680474687479,0.013254553813955804
stdm_tune_03,random_200k,200000,0.0037542953718273987,0.003861101635404228,0.004621498907906563,0.020672520609501106,0.012156345474194022
stdm_tune_03,grid_low,65536,0.0035731308214696227,0.003656441954639147,0.004390564568312817,0.01800042229729735,0.011311112262664342
stdm_tune_03,grid_high,65536,0.0037329907133599035,0.003885231015150927,0.004569651199900696,0.018701150572068167,0.012283640698376917
stdm_tune_03,signed,2000,188314.78126290606,0.003973428546938898,2241394.0135730146,0.0170576953300022,0.012153216940480374
stdm_tune_03,cell_boundaries,2304,0.0038519461499791235,0.0037814916072592564,0.005372869011141486,0.017740781332734556,0.015039269434969678
stdm_tune_03,diagonal,8414,0.0010220015561861185,0.0010220015561861185,0.0015964462060949177,0.00390625,0.00390625
stdm_tune_03,independent_200k,200000,0.003757776438211995,0.003859641768532138,0.00462674717398586,0.019558678684840472,0.012131847436162142
stdm_tune_04,random_200k,200000,0.003232568502677899,0.0030331292000319553,0.004577021675752589,0.02678587795561353,0.013289712489968152
stdm_tune_04,grid_low,65536,0.003076079793355947,0.0028763840356328873,0.0044644139865818305,0.023466050624847374,0.013005640431836035
stdm_tune_04,grid_high,65536,0.0031392847171031746,0.002941614351007293,0.004401133165748303,0.024216447275670266,0.012825611030245819
stdm_tune_04,signed,2000,191541.80347320795,0.003080597421746024,2501426.0082370252,0.02005992793908412,0.013080278027908633
stdm_tune_04,cell_boundaries,2304,0.003853860992858341,0.003563330811905278,0.0057047178219258275,0.023657133451188417,0.016027735846369903
stdm_tune_04,diagonal,8414,0.0027616776053118316,0.0027616776053118316,0.00311611445320938,0.00439453125,0.00439453125
stdm_tune_04,independent_200k,200000,0.0032307468368015066,0.0030293223318214853,0.004575565019873478,0.026490524463308716,0.013143666533282089
stdm_tune_05,random_200k,200000,0.003143305955365865,0.0031394912333956443,0.004003524049677696,0.0162204313196531,0.009941943107159254
stdm_tune_05,grid_low,65536,0.0029018228336497504,0.002892885013365793,0.0036748975058497465,0.014194222383720981,0.008914377432330372
stdm_tune_05,grid_high,65536,0.0031332294791936977,0.003153802668480584,0.003995261441859744,0.014912351479199792,0.009913349898279734
stdm_tune_05,signed,2000,136442.22361743893,0.0032019853131684587,1483744.046653835,0.013241160063856451,0.009869945654656327
stdm_tune_05,cell_boundaries,2304,0.003138733972223793,0.00304161819411727,0.004297788866528564,0.012529183272272279,0.01080743712265215
stdm_tune_05,diagonal,8414,0.0010220015561861185,0.0010220015561861185,0.0015964462060949177,0.00390625,0.00390625
stdm_tune_05,independent_200k,200000,0.003144307926747496,0.003137147606856185,0.004005687226337862,0.017138063036555864,0.010010702417461744
stdm_tune_06,random_200k,200000,0.04225530269301196,0.04265015139877548,0.056459673068841754,0.31238485450405257,0.2090140699571533
stdm_tune_06,grid_low,65536,0.042375400409134935,0.042687880610981006,0.056713201659239175,0.30990821055133083,0.2085666771891206
stdm_tune_06,grid_high,65536,0.04220861100109798,0.042651578299805246,0.05629865528724562,0.31115811333691396,0.2098634486431315
stdm_tune_06,signed,2000,1408178.5490524718,0.04372829983024924,16763939.97876627,0.30662845557711776,0.22510454430328766
stdm_tune_06,cell_boundaries,2304,0.04407642290401415,0.04391105951982194,0.05971763454793921,0.2797852850344344,0.20616332335522727
stdm_tune_06,diagonal,8414,0.037109375,0.037109375,0.037109375,0.037109375,0.037109375
stdm_tune_06,independent_200k,200000,0.042283692880445894,0.04256774056078621,0.05648940345921353,0.3115064227694333,0.20851112608357208
stdm_tune_07,random_200k,200000,0.037986407484511216,0.03720187808825444,0.04815295289786568,0.19524916070161463,0.11730012868788083
stdm_tune_07,grid_low,65536,0.03805815744040349,0.03729488741715694,0.048194609037696,0.19512195121951217,0.11697414199645835
stdm_tune_07,grid_high,65536,0.037987312787043225,0.03722425769280458,0.048105890191776926,0.19563800513882162,0.11698656411621278
stdm_tune_07,signed,2000,1571736.3943157005,0.03782454507744366,17287993.109599262,0.19228505643202282,0.11501615872913214
stdm_tune_07,cell_boundaries,2304,0.042916352551016196,0.041949587663375816,0.054621798804661954,0.19791658167484938,0.12792958941776303
stdm_tune_07,diagonal,8414,0.0234375,0.0234375,0.024705294220065465,0.03125,0.03125
stdm_tune_07,independent_200k,200000,0.03812402177479167,0.037289616104758075,0.04827206291871133,0.19657151936232542,0.11645820021575745
stdm_tune_08,random_200k,200000,0.03895970395826141,0.03869511715582349,0.04836769694386338,0.15460118672980264,0.11600856398058589
stdm_tune_08,grid_low,65536,0.038879255559100684,0.03861102861762249,0.048298624234293465,0.15360501567398116,0.11598021496815294
stdm_tune_08,grid_high,65536,0.03893441978049886,0.038733270395726806,0.048325871446201575,0.15449216051026923,0.11658651652224622
stdm_tune_08,signed,2000,1446229.1654176407,0.0390757717910801,18349398.730962988,0.14426949966569128,0.11410707544153467
stdm_tune_08,cell_boundaries,2304,0.043256146447517844,0.04240701572374247,0.05454819314198088,0.1562499195337219,0.1284615842896343
stdm_tune_08,diagonal,8414,0.012696008884002852,0.012696008884002852,0.013672372408096581,0.015625,0.015625
stdm_tune_08,independent_200k,200000,0.038894282690132634,0.0386259388850439,0.04829313601550551,0.15428587395164067,0.11623854774146201
stdm_tune_09,random_200k,200000,0.039283683337305336,0.038155840193033426,0.049910145070311315,0.1641519035501116,0.12127764358791204
