level,dx,dy,w,b,input_bits,objective,coefficients,mae,mred,rmse,max_relative,p99_relative,cost_proxy,equivalent_dx,equivalent_dy,equivalence_mismatches
0,18,18,18,7,9,mred,58,0.04105488862624082,0.04113587784990168,0.0614993991933488,0.31910961847796665,0.22807380807251307,109,18,18,0
0,18,18,18,7,10,mse,59,0.041888963854919456,0.04248952183587888,0.05638193293455373,0.3073701291413799,0.21476473579790123,109,18,18,0
0,18,18,18,7,10,mred,58,0.04105488862624082,0.04113587784990168,0.0614993991933488,0.31910961847796665,0.22807380807251307,109,18,18,0
1,20,20,20,5,2,mse,21 11,0.06440548001484137,0.06274053686235098,0.08200835951496714,0.22615762206529183,0.18469028107158267,49,21,21,0
1,20,20,20,5,3,mse,21 11,0.037521863245207385,0.03672029266165579,0.04748844134770756,0.18258474190407478,0.1135381884581734,49,20,20,0
1,20,20,20,5,4,mse,21 11,0.037521863245207385,0.03672029266165579,0.04748844134770756,0.18258474190407478,0.1135381884581734,49,20,20,0
1,20,20,20,5,5,mse,21 11,0.037521863245207385,0.03672029266165579,0.04748844134770756,0.18258474190407478,0.1135381884581734,49,20,20,0
1,20,20,20,5,6,mse,21 11,0.037521863245207385,0.03672029266165579,0.04748844134770756,0.18258474190407478,0.1135381884581734,49,20,20,0
1,20,20,20,5,7,mse,21 11,0.037521863245207385,0.03672029266165579,0.04748844134770756,0.18258474190407478,0.1135381884581734,49,20,20,0
1,20,20,20,5,8,mse,21 11,0.037521863245207385,0.03672029266165579,0.04748844134770756,0.18258474190407478,0.1135381884581734,49,20,20,0
1,20,20,20,5,9,mse,21 11,0.037521863245207385,0.03672029266165579,0.04748844134770756,0.18258474190407478,0.1135381884581734,49,20,20,0
1,20,20,20,5,10,mse,21 11,0.037521863245207385,0.03672029266165579,0.04748844134770756,0.18258474190407478,0.1135381884581734,49,20,20,0
2,20,20,20,5,3,mse,26 17 12 9,0.03848259132377337,0.03826602990491615,0.04790338463371657,0.1510916796040308,0.11238472576673234,37,20,20,0
2,20,20,20,5,4,mse,26 17 12 9,0.03848259132377337,0.03826602990491615,0.04790338463371657,0.1510916796040308,0.11238472576673234,37,20,20,0
2,20,20,20,5,5,mse,26 17 12 9,0.03848259132377337,0.03826602990491615,0.04790338463371657,0.1510916796040308,0.11238472576673234,37,20,20,0
2,20,20,20,5,6,mse,26 17 12 9,0.03848259132377337,0.03826602990491615,0.04790338463371657,0.1510916796040308,0.11238472576673234,37,20,20,0
2,20,20,20,5,7,mse,26 17 12 9,0.03848259132377337,0.03826602990491615,0.04790338463371657,0.1510916796040308,0.11238472576673234,37,20,20,0
2,20,20,20,5,8,mse,26 17 12 9,0.03848259132377337,0.03826602990491615,0.04790338463371657,0.1510916796040308,0.11238472576673234,37,20,20,0
2,20,20,20,5,9,mse,26 17 12 9,0.03848259132377337,0.03826602990491615,0.04790338463371657,0.1510916796040308,0.11238472576673234,37,20,20,0
2,20,20,20,5,10,mse,26 17 12 9,0.03848259132377337,0.03826602990491615,0.04790338463371657,0.1510916796040308,0.11238472576673234,37,20,20,0
3,19,19,21,5,4,mse,30 24 20 16 14 12 10 9,0.03892422911719788,0.03796811220207954,0.04963496114951286,0.15760117976287052,0.12306655065404588,32,19,19,0
3,19,19,21,5,5,mse,30 24 20 16 14 12 10 9,0.03892422911719788,0.03796811220207954,0.04963496114951286,0.15760117976287052,0.12306655065404588,32,19,19,0
3,19,19,21,5,6,mse,30 24 20 16 14 12 10 9,0.03892422911719788,0.03796811220207954,0.04963496114951286,0.15760117976287052,0.12306655065404588,32,19,19,0
3,19,19,21,5,7,mse,30 24 20 16 14 12 10 9,0.03892422911719788,0.03796811220207954,0.04963496114951286,0.15760117976287052,0.12306655065404588,32,19,19,0
3,19,19,21,5,8,mse,30 24 20 16 14 12 10 9,0.03892422911719788,0.03796811220207954,0.04963496114951286,0.15760117976287052,0.12306655065404588,32,19,19,0
3,19,19,21,5,9,mse,30 24 20 16 14 12 10 9,0.03892422911719788,0.03796811220207954,0.04963496114951286,0.15760117976287052,0.12306655065404588,32,19,19,0
3,19,19,21,5,10,mse,30 24 20 16 14 12 10 9,0.03892422911719788,0.03796811220207954,0.04963496114951286,0.15760117976287052,0.12306655065404588,32,19,19,0
1,15,16,17,7,2,mse,82 42,0.06266411008132744,0.060437252793245404,0.0800230034138402,0.2392128891272878,0.17593890769502646,134,21,21,0
1,15,16,17,7,2,mred,81 42,0.06290952889567676,0.060392332674437894,0.08019581824863956,0.22410053682085745,0.17101593471811152,134,21,21,0
1,15,16,17,7,3,mse,82 42,0.03243353585536825,0.031116902870429772,0.04189215729386778,0.12723891713716318,0.09352625517047923,134,20,20,0
1,15,16,17,7,4,mse,83 42,0.0191904326506272,0.01841828487726898,0.025060947098855337,0.09575941404919115,0.0609810038102327,134,19,19,0
1,15,16,17,7,5,mse,83 42,0.013644125268348711,0.013116789831290951,0.01861879317979471,0.09097822129874757,0.053214598786651385,134,18,18,0
1,15,16,17,7,6,mse,83 42,0.011886155554652613,0.011414266476355218,0.016837126113279595,0.08566259948953181,0.051937358727222244,134,17,17,0
1,15,16,17,7,7,mse,83 42,0.011343363207007321,0.010848185653427177,0.01641354043487494,0.09473961143933078,0.05093304526576991,134,16,16,0
1,15,16,17,7,8,mse,83 42,0.011281257307845391,0.010739512845299342,0.016149613887798238,0.09473961143933078,0.05077354268324013,134,15,16,0
1,15,16,17,7,9,mse,83 42,0.011281257307845391,0.010739512845299342,0.016149613887798238,0.09473961143933078,0.05077354268324013,134,15,16,0
1,15,16,17,7,10,mse,83 42,0.011281257307845391,0.010739512845299342,0.016149613887798238,0.09473961143933078,0.05077354268324013,134,15,16,0
2,18,18,18,7,3,mse,101 68 49 37,0.031275241530096254,0.030093181477741673,0.039981209590550244,0.10767791123259593,0.08777042973632944,85,20,20,0
2,18,18,18,7,4,mse,102 68 49 37,0.0166063038138857,0.015997587594102546,0.02123373445111524,0.07169116220631162,0.04726508748092994,85,19,19,0
2,18,18,18,7,5,mse,102 68 49 37,0.009822090103570106,0.009614729503835278,0.012501608371049152,0.054199390844000016,0.030336322634790004,85,18,18,0
2,18,18,18,7,6,mse,102 68 49 37,0.009822090103570106,0.009614729503835278,0.012501608371049152,0.054199390844000016,0.030336322634790004,85,18,18,0
2,18,18,18,7,7,mse,102 68 49 37,0.009822090103570106,0.009614729503835278,0.012501608371049152,0.054199390844000016,0.030336322634790004,85,18,18,0
2,18,18,18,7,8,mse,102 68 49 37,0.009822090103570106,0.009614729503835278,0.012501608371049152,0.054199390844000016,0.030336322634790004,85,18,18,0
2,18,18,18,7,9,mse,102 68 49 37,0.009822090103570106,0.009614729503835278,0.012501608371049152,0.054199390844000016,0.030336322634790004,85,18,18,0
2,18,18,18,7,10,mse,102 68 49 37,0.009822090103570106,0.009614729503835278,0.012501608371049152,0.054199390844000016,0.030336322634790004,85,18,18,0
3,18,18,18,7,4,mse,113 91 75 62 53 45 39 34,0.01634778528305359,0.01589288547325601,0.020851721537334833,0.060719283080531164,0.04919539703984254,73,19,19,0
3,18,18,18,7,5,mse,114 91 75 62 53 45 39 34,0.009548235927451604,0.009561600321783062,0.011921184222903699,0.04454429437752442,0.030615374753074298,73,18,18,0
3,18,18,18,7,6,mse,114 91 75 62 53 45 39 34,0.009548235927451604,0.009561600321783062,0.011921184222903699,0.04454429437752442,0.030615374753074298,73,18,18,0
3,18,18,18,7,7,mse,114 91 75 62 53 45 39 34,0.009548235927451604,0.009561600321783062,0.011921184222903699,0.04454429437752442,0.030615374753074298,73,18,18,0
3,18,18,18,7,8,mse,114 91 75 62 53 45 39 34,0.009548235927451604,0.009561600321783062,0.011921184222903699,0.04454429437752442,0.030615374753074298,73,18,18,0
3,18,18,18,7,9,mse,114 91 75 62 53 45 39 34,0.009548235927451604,0.009561600321783062,0.011921184222903699,0.04454429437752442,0.030615374753074298,73,18,18,0
3,18,18,18,7,10,mse,114 91 75 62 53 45 39 34,0.009548235927451604,0.009561600321783062,0.011921184222903699,0.04454429437752442,0.030615374753074298,73,18,18,0
3,16,16,16,8,4,mse,225 181 148 124 105 90 78 69,0.01569739951331562,0.015150845959032528,0.02000577185704719,0.059176113658952506,0.044147757138096,120,19,19,0
3,16,16,16,8,5,mse,226 181 149 124 105 90 78 68,0.008089019902475118,0.007899936963985001,0.010229487012964764,0.03322069142627415,0.024439477465481547,120,18,18,0
3,16,16,16,8,5,mred,226 182 149 124 105 90 78 68,0.008104287420741483,0.007897088419276537,0.01031621838397043,0.031029920729074872,0.02434544888924701,120,18,18,0
3,16,16,16,8,6,mse,227 182 149 124 105 90 78 68,0.004347845314943016,0.004288420520749462,0.005556336080803386,0.0184409257752979,0.013495799449509396,120,17,17,0
3,16,16,16,8,7,mse,227 182 149 124 105 90 78 68,0.0027414473676095363,0.0027713475464792208,0.003458580367092595,0.01259314675803571,0.00927788500567332,120,16,16,0
3,16,16,16,8,8,mse,227 182 149 124 105 90 78 68,0.0027414473676095363,0.0027713475464792208,0.003458580367092595,0.01259314675803571,0.00927788500567332,120,16,16,0
3,16,16,16,8,9,mse,227 182 149 124 105 90 78 68,0.0027414473676095363,0.0027713475464792208,0.003458580367092595,0.01259314675803571,0.00927788500567332,120,16,16,0
3,16,16,16,8,10,mse,227 182 149 124 105 90 78 68,0.0027414473676095363,0.0027713475464792208,0.003458580367092595,0.01259314675803571,0.00927788500567332,120,16,16,0
