design,cases,rmse,mred,mae,max_relative,max_csv_delta
pace_z_l2_d17,100000,0.02367708078289178,0.015200845417770698,0.016184284806045793,0.09157684410267294,1.457167719820518e-16
pace_z_l2_d18,100000,0.02636960850176502,0.0169477751028669,0.01857335023079955,0.09157684410267294,2.0122792321330962e-16
pace_z_l3_d0,100000,0.009186388234397781,0.005595961018913445,0.00589400394432003,0.24037140393534565,1.1102230246251565e-16
pace_z_l3_d4,100000,0.009186308460849174,0.005595883216501937,0.005893949194651323,0.2403712855670861,1.3877787807814457e-16
pace_z_l3_d8,100000,0.009184880718740858,0.005594574306934766,0.00589303529169785,0.2403646569445516,1.1102230246251565e-16
pace_z_l3_d12,100000,0.009164195621035242,0.005579211447055816,0.005884071993719895,0.24025694182836632,1.3877787807814457e-16
pace_z_l3_d14,100000,0.009124260347322475,0.005579725497139293,0.00590413375773343,0.24025694182836632,1.3877787807814457e-16
pace_z_l3_d15,100000,0.009129243226088228,0.005664149800425324,0.006011900144527417,0.24025694182836632,1.3877787807814457e-16
pace_z_l3_d16,100000,0.009350274824308778,0.006031241559758434,0.006420839854100854,0.2394140222463605,8.326672684688674e-17
pace_z_l3_d17,100000,0.010514007708797414,0.007300737797384553,0.00774856264791499,0.23744414887066023,5.551115123125783e-17
pace_z_l3_d18,100000,0.014941455914938702,0.011208898598488882,0.011656078837973127,0.23744414887066023,8.673617379884035e-17
pace_z_l4_d0,100000,0.00593765326860646,0.0038028569111263452,0.0038530492369118923,0.24037140393534565,1.1102230246251565e-16
pace_z_l4_d4,100000,0.005937474651151461,0.0038027171281174816,0.0038529297731778145,0.2403712855670861,1.3877787807814457e-16
pace_z_l4_d8,100000,0.005934206013298105,0.0038002512041774923,0.0038508036588255747,0.2403646569445516,1.1102230246251565e-16
pace_z_l4_d12,100000,0.005885794567467903,0.003768622836608466,0.0038247779455943525,0.24025694182836632,1.3877787807814457e-16
pace_z_l4_d14,100000,0.005766619513658709,0.0037327884093439224,0.0038059368102244325,0.24025694182836632,1.3877787807814457e-16
pace_z_l4_d15,100000,0.005705538640932147,0.0037975560924135418,0.003892804134534803,0.24025694182836632,1.3877787807814457e-16
pace_z_l4_d16,100000,0.005912331691596478,0.004189525640938453,0.004322302774396448,0.2394140222463605,8.326672684688674e-17
pace_z_l4_d17,100000,0.007408506722028974,0.005664516383180665,0.005836176207874212,0.23744414887066023,5.551115123125783e-17
pace_z_l4_d18,100000,0.012710335011197976,0.01011685564365741,0.010260714558119501,0.23744414887066023,5.551115123125783e-17
input_div_b3_bias0,100000,0.0439913805802101,0.03387015596082422,0.03463712412463623,0.1406471359897211,5.551115123125783e-17
input_div_b5_bias0,100000,0.011068004778542731,0.008730834827663575,0.008796785203862303,0.038710640853494106,6.938893903907228e-17
input_div_b7_bias0,100000,0.0027671959535709324,0.0021989632288678504,0.0022056032858711627,0.010527897536756996,7.112366251504909e-17
input_div_b3_bias1,100000,0.04278811294691637,0.03275183358294685,0.033724003530966516,0.13103996848765115,2.7755575615628914e-17
input_div_b5_bias1,100000,0.010768231542776792,0.008273872638952011,0.008488841838318517,0.035247646077871016,6.938893903907228e-17
input_div_b7_bias1,100000,0.0026900656604035666,0.0020705264478002383,0.0021217052038359384,0.00902615893494625,5.204170427930421e-18
oadm_div_l0,100000,0.05642904433174937,0.0426847334119081,0.04228467560153761,0.311724751201149,0.0
oadm_div_l1,100000,0.01610807441407574,0.010744290622541598,0.011346461575604415,0.0899400336790869,6.938893903907228e-17
oadm_div_l2,100000,0.0052869101122308,0.0036413991796571503,0.003805300516025553,0.029231251009329506,2.7755575615628914e-17
oadm_div_l3,100000,0.003464444928480291,0.0027890733509097466,0.002751473907062568,0.015964165580673668,4.85722573273506e-17
