dataset,design,cases,mae,mred,rmse,mean_error,max_relative,mred_vs_fp32_rne
eight_fraction_bits,input_mul_b9_bias1,65536,0.0029268264770507812,0.0013561717872644765,0.0029538545192421585,0.0029268264770507812,0.0019540786743164062,0.0013561717872644765
eight_fraction_bits,oadm_div_l0,65536,0.04237540040913443,0.042687880610980986,0.05671320165923936,-0.006323032019108597,0.30990821055133083,0.04268788048223143
eight_fraction_bits,oadm_div_l1,65536,0.011353507805885147,0.010727237175968072,0.01620424213141511,-0.002531222937077318,0.08888381186162453,0.010727237063385643
eight_fraction_bits,oadm_div_l2,65536,0.003674426231521805,0.003487483436228537,0.005221797202285598,-0.0014697834229171478,0.026482370576969897,0.0034874833153520604
eight_fraction_bits,oadm_div_l3,65536,0.0025416294891032675,0.00255436837529295,0.0032236382759693338,-0.001266173956364406,0.013223492217898885,0.0025543682420624035
eight_fraction_bits,oadm_mul_l0,65536,0.06299519538879395,0.031525558603995085,0.08364375238045262,0.005855560302734375,0.24419748974246394,0.031525558603995085
eight_fraction_bits,oadm_mul_l1,65536,0.01594212744385004,0.007761641650249718,0.021043138417395014,0.002925872802734375,0.06005859375,0.007761641650249718
eight_fraction_bits,oadm_mul_l2,65536,0.003986544907093048,0.001927625558176088,0.005262451959413926,0.000728607177734375,0.01507568359375,0.001927625558176088
eight_fraction_bits,oadm_mul_l3,65536,0.0009972876869142056,0.0004813688016140764,0.0013171150375098318,0.000179290771484375,0.00377655029296875,0.0004813688016140764
eight_fraction_bits,pace_full_l1,65536,0.028460831121195376,0.02623810437115142,0.04564435445915299,-0.008581332800358589,0.12500000000000006,0.026238104427447125
eight_fraction_bits,pace_full_l3,65536,0.005928350464190205,0.005649532408506543,0.009245786086062129,0.0011959549194127085,0.2446498572826386,0.005649532411462994
eight_fraction_bits,audit_pace_l1_b5,65536,0.03401696164659269,0.030984434241153512,0.05148187291712267,-0.014501742956608674,0.14550781249999992,0.030984434202428687
eight_fraction_bits,audit_pace_l3_b6,65536,0.012163515375437738,0.011365661314362945,0.015836201115331492,-0.00964944803473361,0.04801670146137787,0.011365661366904279
signed_exponents,input_div_b3_bias1,10000,1539514.1718790263,0.03294248656544994,21298842.438894972,106478.24812635743,0.12569249314130915,0.032942486514096994
signed_exponents,input_div_b5_bias1,10000,365851.59347226756,0.008254304469819987,4750351.2009818265,-25162.225133413518,0.03336269821330131,0.008254304660318356
signed_exponents,input_div_b7_bias1,10000,102613.25352620301,0.002076018798615689,1566146.2618843715,18029.6159549558,0.008842978266563516,0.002076018688089052
signed_exponents,input_mul_b3_bias1,10000,3785996.495601613,0.029220589062792318,62414177.219238415,686943.0564369899,0.11386046434664426,0.029220588945328065
signed_exponents,input_mul_b5_bias1,10000,758677.264936018,0.007414719725535549,12283416.73028431,30851.214977946158,0.027045922539138997,0.0074147199645276845
signed_exponents,input_mul_b7_bias1,10000,220101.53720397752,0.0018483097437383478,3550521.20230009,-11230.898759108604,0.0066695856529735975,0.0018483100975232847
signed_exponents,input_mul_b9_bias1,10000,44916.97468404832,0.00045859080913795996,584841.6985935512,10491.842469116982,0.0017159544412517207,0.0004585910790259617
signed_exponents,oadm_div_l0,10000,2070798.9757742821,0.04256669621842215,44762644.28391208,509411.63671441696,0.307869002398625,0.04256669586161112
signed_exponents,oadm_div_l1,10000,599402.9148247961,0.010805432570905672,13661329.37007654,74147.30714990202,0.09013931176774043,0.010805432852235588
signed_exponents,oadm_div_l2,10000,210686.2691158202,0.003680063801985827,4072269.878061532,59200.0885072746,0.025032045313132068,0.0036800639844396807
