level,residual_drop,wn_drop,coefficient_bits,coefficients,cases,mae,mred,rmse,mae_change_vs_current_pct,mred_change_vs_current_pct,rmse_change_vs_current_pct,active_residual_bits,active_wn_bits,cost_proxy,within_2pct,within_5pct,is_current
1,18,16,7,83 42,250000,0.013886564552714484,0.01321387304918595,0.018785382740996972,21.696173371826568,22.551109272508185,15.726424799954408,5,9,123,no,no,no
1,18,17,7,83 42,250000,0.013900544284103459,0.013314338492190174,0.01898362104161707,21.81868602125445,23.48286875270693,16.947662083510817,5,8,116,no,no,no
1,18,18,7,83 42,250000,0.014655905390519437,0.014235160070692454,0.02021135810370562,28.438361882464093,32.02296184028721,24.511075762585357,5,7,109,no,no,no
1,18,19,7,84 43,250000,0.017237291911198157,0.016757670497082305,0.022325377127224405,51.06057779250399,55.41780222923649,37.534385796987976,5,6,102,no,no,no
1,18,20,7,85 43,250000,0.021051509238122552,0.02070174872129782,0.027742443091749797,84.48681877047729,91.99687027658183,70.90595376679607,5,5,95,no,no,no
1,18,21,7,88 44,250000,0.03600856080086481,0.03564046975673713,0.045526457782222106,215.5643025643378,230.54495736588717,180.46350002997124,5,4,88,no,no,no
1,18,22,7,94 46,250000,0.07294326364594207,0.07182280009271667,0.0909639108663248,539.2449352945398,566.1153614581066,460.37869100253477,5,3,81,no,no,no
1,19,16,7,83 42,250000,0.01947842773451806,0.018695249264407604,0.02558957291114261,70.70097572312368,73.38773627920854,57.64330309338854,4,9,111,no,no,no
1,19,17,7,83 42,250000,0.01947842773451806,0.018695249264407604,0.02558957291114261,70.70097572312368,73.38773627920854,57.64330309338854,4,8,104,no,no,no
1,19,18,7,83 42,250000,0.019843502983576403,0.01921564900789959,0.026073354839632554,73.90034592260777,78.21414603754961,60.623617827396295,4,7,97,no,no,no
1,19,19,7,84 43,250000,0.022004709251005408,0.02123207351315394,0.028459690871713607,92.84027390946945,96.91532917767469,75.32452337569566,4,6,90,no,no,no
1,19,20,7,85 43,250000,0.024399216312357336,0.02375836668152215,0.031874800411536036,113.8247546550247,120.34525233333544,96.36313742966156,4,5,83,no,no,no
1,19,21,7,88 44,250000,0.03772113926851539,0.03703808702015578,0.04791400991251564,230.5726399627567,243.50705752628747,195.17189729139014,4,4,76,no,no,no
1,19,22,7,94 46,250000,0.0737275844809963,0.07233223927126893,0.09234821286809565,546.1184023755852,570.8401182501585,468.90661527839967,4,3,69,no,no,no
1,20,16,7,82 42,250000,0.032929389348200284,0.03163924169064076,0.0425836775661137,188.57970306007874,193.4358572460997,162.33464750257315,3,9,99,no,no,no
1,20,17,7,82 42,250000,0.032929389348200284,0.03163924169064076,0.0425836775661137,188.57970306007874,193.4358572460997,162.33464750257315,3,8,92,no,no,no
1,20,18,7,82 42,250000,0.032929389348200284,0.03163924169064076,0.0425836775661137,188.57970306007874,193.4358572460997,162.33464750257315,3,7,85,no,no,no
1,20,19,7,83 43,250000,0.034375484625809735,0.03318304662886787,0.04417386992776792,201.25269074886884,207.75376441653094,172.13094919606067,3,6,78,no,no,no
1,20,20,7,84 43,250000,0.03576726409601769,0.03487639591335611,0.046032812451265614,213.44967691192002,223.45860980345003,183.5828730199761,3,5,71,no,no,no
1,20,21,7,87 44,250000,0.04545570003709147,0.043971117217427906,0.058056019331582276,298.35516779204386,307.80694432956193,257.6512466098674,3,4,64,no,no,no
1,20,22,7,93 45,250000,0.0759687012422214,0.07525858834183324,0.09492526906016369,565.7586332538007,597.9803309176568,484.78244297531194,3,3,57,no,no,no
1,21,16,7,82 42,250000,0.06276322371666512,0.06032766631487738,0.08021992684958976,450.0312280840523,459.5045751680968,394.19090683505533,2,9,87,no,no,no
1,21,17,7,82 42,250000,0.06276322371666512,0.06032766631487738,0.08021992684958976,450.0312280840523,459.5045751680968,394.19090683505533,2,8,80,no,no,no
1,21,18,7,82 42,250000,0.06276322371666512,0.06032766631487738,0.08021992684958976,450.0312280840523,459.5045751680968,394.19090683505533,2,7,73,no,no,no
1,21,19,7,82 42,250000,0.06276322371666512,0.06032766631487738,0.08021992684958976,450.0312280840523,459.5045751680968,394.19090683505533,2,6,66,no,no,no
1,21,20,7,83 43,250000,0.06282931970743148,0.06039342453272418,0.08029137418785326,450.610466319755,460.11444500042467,394.6310546421407,2,5,59,no,no,no
1,21,21,7,86 43,250000,0.06512075471462825,0.0629747401567261,0.08317511318496401,470.6916657299849,484.05466993874285,412.3961866489279,2,4,52,no,no,no
1,21,22,7,91 44,250000,0.08377879197897112,0.08163778039434419,0.10763062884558357,634.2030748391314,657.1436859300426,563.0531859266863,2,3,45,no,no,no
2,16,16,8,203 136 97 73,250000,0.003838120314496026,0.003657460415261406,0.005363023151035869,0.0,0.0,0.0,7,9,156,yes,yes,yes
2,16,17,8,204 136 97 73,250000,0.004604085882517594,0.004468856577737413,0.006093303106139023,19.956788877321706,22.18468747030895,13.61694578853534,7,8,148,no,no,no
2,16,18,8,205 137 98 73,250000,0.005933581594647745,0.005754084671253389,0.00764680447469689,54.59602900506961,57.32459187373416,42.58384234682835,7,7,140,no,no,no
2,16,19,8,207 138 98 74,250000,0.009193276733202483,0.008877336926893674,0.011835825842738262,139.5254963342552,142.71860578043177,120.69317079961084,7,6,132,no,no,no
2,16,20,8,210 140 100 75,250000,0.01728433422497543,0.01670202980363686,0.021844811438122842,350.3333092424173,356.6564749120635,307.32271375527273,7,5,124,no,no,no
2,16,21,8,218 144 102 76,250000,0.03443826722096839,0.033351521692772924,0.043544413893811335,797.2690900517118,811.8764909555207,711.93783184398,7,4,116,no,no,no
2,16,22,8,234 153 107 79,250000,0.07284354058521833,0.07047757660553826,0.09183267399357564,1797.8962256628279,1826.9539134711615,1612.3303667976547,7,3,108,no,no,no
2,17,16,8,203 136 97 73,250000,0.005157038467567864,0.004951409988680989,0.006852693169940469,34.36364795784215,35.37836166374755,27.77668447351136,6,9,144,no,no,no
2,17,17,8,204 136 97 73,250000,0.005818280104113809,0.005631136196914676,0.007644228123875197,51.59191550455064,53.963011422290606,42.53580319523162,6,8,136,no,no,no
2,17,18,8,204 137 98 73,250000,0.006896780782410824,0.006718227859300539,0.008967606359765895,79.6916255168625,83.68559318557584,67.21177789496954,6,7,128,no,no,no
2,17,19,8,206 138 98 74,250000,0.00974201167915695,0.009441568136210067,0.012613977170187668,153.82246727291945,158.14546336068162,135.20273575084744,6,6,120,no,no,no
2,17,20,8,210 140 100 75,250000,0.017597014027449745,0.016975279390288894,0.022390031000761382,358.4800002487771,364.1274945712745,317.4889865324698,6,5,112,no,no,no
2,17,21,8,218 144 102 76,250000,0.0347061129945877,0.033607256230940165,0.04402781254177408,804.2476564246234,818.868625090456,720.9513795082182,6,4,104,no,no,no
2,17,22,8,234 153 107 79,250000,0.07296966928874465,0.07061736852802958,0.09200791979315419,1801.1824359217912,1830.7760169697535,1615.5980349512913,6,3,96,no,no,no
2,18,16,8,203 136 97 73,250000,0.008588091404179087,0.008245012864256756,0.011176012733861809,123.7577433866027,125.42999590242916,108.39016388924519,5,9,132,no,no,no
2,18,17,8,203 136 97 73,250000,0.008878214076636413,0.008615730100355466,0.011480514595569829,131.31672144577337,135.56591520183773,114.06796637363695,5,8,124,no,no,no
2,18,18,8,204 136 98 73,250000,0.009714282452032645,0.00950312552266735,0.012501117773237562,153.09999833364273,159.82852700233923,133.09833691139238,5,7,116,no,no,no
2,18,19,8,206 137 98 74,250000,0.011897967289398351,0.011579322387829525,0.01541252119495635,209.9946409824999,216.59460590503556,187.38494615633755,5,6,108,no,no,no
2,18,20,8,209 139 100 74,250000,0.018783992753356186,0.018351275001250014,0.024124902497554526,389.40604291146786,401.749107787361,349.8377466987961,5,5,100,no,no,no
2,18,21,8,217 144 102 76,250000,0.035257255019739434,0.03414227430233086,0.04484482617365517,818.6073424164915,833.4967552858845,736.1855787438357,5,4,92,no,no,no
2,18,22,8,233 152 107 79,250000,0.07327978618505852,0.07101887750719002,0.09263476568416099,1809.2623518937476,1841.7538248903825,1627.286328537824,5,3,84,no,no,no
2,19,16,8,202 135 97 73,250000,0.016001404220955206,0.015411443964323137,0.02057807293720103,316.90731164732415,321.3700823668833,283.7028548576444,4,9,120,no,no,no
2,19,17,8,202 136 97 73,250000,0.016206777130938682,0.015641528629162398,0.02081607848731426,322.25818377105134,327.6609136737428,288.1407538450329,4,8,112,no,no,no
2,19,18,8,203 136 98 73,250000,0.01663373815569315,0.016115183746429954,0.021314045176691578,333.38240577998357,340.61129627504585,297.4259401169052,4,7,104,no,no,no
2,19,19,8,205 137 98 74,250000,0.017645496424082543,0.017178663770512307,0.022669972620946728,359.7431809898729,369.6883033602023,322.70883385181764,4,6,96,no,no,no
2,19,20,8,209 139 99 74,250000,0.02245565375017725,0.021941772386872577,0.02888609079454594,485.0690418787939,499.9182464235735,438.6158138990428,4,5,88,no,no,no
2,19,21,8,216 144 102 76,250000,0.03745087972647663,0.03626952524805478,0.04793804102296781,875.7609626001058,891.6587229957081,793.8622801527263,4,4,80,no,no,no
2,19,22,8,233 152 107 79,250000,0.07475244052780587,0.07248484908794182,0.09505651629192494,1847.631507159291,1881.8355049171785,1672.4427736912667,4,3,72,no,no,no
2,20,16,8,200 135 97 73,250000,0.03137526077835156,0.03017714997403226,0.04017890037513817,717.4642326831635,725.0848005931307,649.1837951021636,3,9,108,no,no,no
2,20,17,8,200 135 97 73,250000,0.03137526077835156,0.03017714997403226,0.04017890037513817,717.4642326831635,725.0848005931307,649.1837951021636,3,8,100,no,no,no
