tag,top,area_um2,delay_ns,setup_slack_ns,power_mw,hierarchical_cells,leaf_cells,sequential_cells,black_boxes,status,dc_report,pt_report_dir,mapping,boundary
prior/fanzed,fanzed_prior_fp32_paceio,2775.960069,4.96810,5.01190,0.0887977,16,1130,0,0,pass,dc/hier_compile_10ns/outputs/prior/fanzed/fanzed_prior_fp32_paceio.dc.rpt,pt_dc/hier_compile_10ns/reports/prior/fanzed,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
prior/lead,lead_fp32_paceio_comb,6666.119974,5.67436,4.30564,0.6063020,17,1464,0,0,pass,dc/hier_compile_10ns/outputs/prior/lead/lead_fp32_paceio_comb.dc.rpt,pt_dc/hier_compile_10ns/reports/prior/lead,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
prior/plsad_m4,plsad_m4_fp32_paceio,552.600007,1.64807,8.33193,0.0185768,6,198,0,0,pass,dc/hier_compile_10ns/outputs/prior/plsad_m4/plsad_m4_fp32_paceio.dc.rpt,pt_dc/hier_compile_10ns/reports/prior/plsad_m4,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
prior/plsad_m6,plsad_m6_fp32_paceio,611.280007,1.72175,8.25825,0.0216376,9,193,0,0,pass,dc/hier_compile_10ns/outputs/prior/plsad_m6/plsad_m6_fp32_paceio.dc.rpt,pt_dc/hier_compile_10ns/reports/prior/plsad_m6,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
prior/plsad_m8,plsad_m8_fp32_paceio,659.880006,1.73836,8.24164,0.0241391,9,197,0,0,pass,dc/hier_compile_10ns/outputs/prior/plsad_m8/plsad_m8_fp32_paceio.dc.rpt,pt_dc/hier_compile_10ns/reports/prior/plsad_m8,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
prior/qiad,qiad_prior_fp32_paceio,12097.799951,8.07414,1.90586,0.9520100,18,3005,0,0,pass,dc/hier_compile_10ns/outputs/prior/qiad/qiad_prior_fp32_paceio.dc.rpt,pt_dc/hier_compile_10ns/reports/prior/qiad,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
prior/truncapp,truncapp_fp32_paceio,4581.359992,3.13271,6.84729,0.2613620,11,1229,0,0,pass,dc/hier_compile_10ns/outputs/prior/truncapp/truncapp_fp32_paceio.dc.rpt,pt_dc/hier_compile_10ns/reports/prior/truncapp,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
root_div/oadm_fixed_l0_div_specialized,oadm_fixed_l0_div_specialized,516.960004,1.75780,8.22220,0.0246830,5,137,0,0,pass,experiments/fixed_div_level_specialization/dc/oadm_fixed_l0_div_specialized/oadm_fixed_l0_div_specialized.dc.rpt,experiments/fixed_div_level_specialization/pt/oadm_fixed_l0_div_specialized,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT; common normal-finite FP32 wrapper; elaboration-time LEVEL; RTL/gate 20002 vectors per level
root_div/oadm_fixed_l1_div_specialized,oadm_fixed_l1_div_specialized,1130.400003,2.70339,7.27661,0.0661543,7,299,0,0,pass,experiments/fixed_div_level_specialization/dc/oadm_fixed_l1_div_specialized/oadm_fixed_l1_div_specialized.dc.rpt,experiments/fixed_div_level_specialization/pt/oadm_fixed_l1_div_specialized,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT; common normal-finite FP32 wrapper; elaboration-time LEVEL; RTL/gate 20002 vectors per level
root_div/oadm_fixed_l2_div_specialized,oadm_fixed_l2_div_specialized,1484.640007,2.73617,7.24383,0.0750523,8,389,0,0,pass,experiments/fixed_div_level_specialization/dc/oadm_fixed_l2_div_specialized/oadm_fixed_l2_div_specialized.dc.rpt,experiments/fixed_div_level_specialization/pt/oadm_fixed_l2_div_specialized,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT; common normal-finite FP32 wrapper; elaboration-time LEVEL; RTL/gate 20002 vectors per level
root_div/oadm_fixed_l3_div_specialized,oadm_fixed_l3_div_specialized,1865.520005,3.08149,6.89851,0.0834119,8,473,0,0,pass,experiments/fixed_div_level_specialization/dc/oadm_fixed_l3_div_specialized/oadm_fixed_l3_div_specialized.dc.rpt,experiments/fixed_div_level_specialization/pt/oadm_fixed_l3_div_specialized,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT; common normal-finite FP32 wrapper; elaboration-time LEVEL; RTL/gate 20002 vectors per level
root_div/oadm_runtime_root_opt,oadm_runtime_root_opt,3174.120010,3.96574,6.01426,0.1284270,10,830,0,0,pass,dc/hier_compile_10ns/outputs/root_div/oadm_runtime_root_opt/oadm_runtime_root_opt.dc.rpt,pt_dc/hier_compile_10ns/reports/root_div/oadm_runtime_root_opt,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
root_shared/oadm_fixed_l0_divmul_root_opt,oadm_fixed_l0_divmul_root_opt,957.960008,2.49427,7.48572,0.0382199,5,251,0,0,pass,dc/hier_compile_10ns/outputs/root_shared/oadm_fixed_l0_divmul_root_opt/oadm_fixed_l0_divmul_root_opt.dc.rpt,pt_dc/hier_compile_10ns/reports/root_shared/oadm_fixed_l0_divmul_root_opt,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
root_shared/oadm_fixed_l1_divmul_root_opt,oadm_fixed_l1_divmul_root_opt,1696.680006,2.89371,7.08629,0.0732530,7,446,0,0,pass,dc/hier_compile_10ns/outputs/root_shared/oadm_fixed_l1_divmul_root_opt/oadm_fixed_l1_divmul_root_opt.dc.rpt,pt_dc/hier_compile_10ns/reports/root_shared/oadm_fixed_l1_divmul_root_opt,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
root_shared/oadm_fixed_l2_divmul_root_opt,oadm_fixed_l2_divmul_root_opt,2106.720010,3.31142,6.66857,0.0911738,8,542,0,0,pass,dc/hier_compile_10ns/outputs/root_shared/oadm_fixed_l2_divmul_root_opt/oadm_fixed_l2_divmul_root_opt.dc.rpt,pt_dc/hier_compile_10ns/reports/root_shared/oadm_fixed_l2_divmul_root_opt,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
root_shared/oadm_fixed_l3_divmul_root_opt,oadm_fixed_l3_divmul_root_opt,2663.640009,3.68527,6.29473,0.1116930,8,677,0,0,pass,dc/hier_compile_10ns/outputs/root_shared/oadm_fixed_l3_divmul_root_opt/oadm_fixed_l3_divmul_root_opt.dc.rpt,pt_dc/hier_compile_10ns/reports/root_shared/oadm_fixed_l3_divmul_root_opt,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
simdive/simdive_original_fp32_wrapper,simdive_original_fp32_wrapper,10414.080274,7.65319,2.32681,0.2608300,44,4066,23,0,check_timing_failed;sequential_present,dc/hier_compile_10ns/outputs/simdive/simdive_original_fp32_wrapper/simdive_original_fp32_wrapper.dc.rpt,pt_dc/hier_compile_10ns/reports/simdive/simdive_original_fp32_wrapper,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
simdive/sisd32_specialized,simdive_sisd32_fp32_wrapper,3729.240087,7.64970,2.33030,0.1099120,24,1408,0,0,pass,dc/hier_compile_10ns/outputs/simdive/sisd32_specialized/simdive_sisd32_fp32_wrapper.dc.rpt,pt_dc/hier_compile_10ns/reports/simdive/sisd32_specialized,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area; source-specialized mode=01,TSMC65 typical CCS; 10 ns; no pipeline; shared fp32_normal_finite_wrapper; INVD0; 0.004 output load; vectorless PT
variant_audit/L0_centered_index/full,oadm_fixed_l0_opt,2608.560029,3.53016,6.44984,0.1182740,11,689,0,0,pass,dc/hier_compile_10ns/outputs/variant_audit/L0_centered_index/full/oadm_fixed_l0_opt.dc.rpt,pt_dc/hier_compile_10ns/reports/variant_audit/L0_centered_index/full,hierarchy-preserving; compile; set_max_area 0; optimize_netlist -area,TSMC65 typical CCS; 10 ns; no pipeline; INVD0; 0.004 output load; vectorless PT
