top,dataset,cases,mae,mred,rmse,mean_relative,max_relative,p99_relative
fpd2d_8x8_t17,signed_exponents,2000,322167.10420983913,0.007286006855050285,5409435.567869056,0.0004865146213911902,0.11741297757846691,0.06379033357608593
fpd2d_8x8_t16,uniform_200k,200000,0.007502526300320812,0.006863545896051112,0.018114864566805375,-0.0001994518771318591,0.12659844006013699,0.09183937976895733
fpd2d_8x8_t16,retained_grid,65536,0.0073503070362314375,0.006748308961775722,0.0179410899295142,-0.0002097688889945209,0.12543808411214963,0.09201625261657359
fpd2d_8x8_t16,retained_grid_low_ones,65536,0.007409886737816676,0.006767929928018916,0.018104110801826938,-0.00020921885713613459,0.12541246195964575,0.09168755828542352
fpd2d_8x8_t16,signed_exponents,2000,270995.48995378084,0.006313269897808953,4041692.312626979,0.0003695022535572191,0.11741297757846691,0.05845326528436268
fpd2d_8x8_t15,uniform_200k,200000,0.007156908570146822,0.006557753313098986,0.017935563981196664,-0.0002115694648518732,0.12493575376810102,0.09164611995773604
fpd2d_8x8_t15,retained_grid,65536,0.00700048077094427,0.006436878873726374,0.017763046348392934,-0.0002202324715744157,0.12384033203124992,0.09208271752408703
fpd2d_8x8_t15,retained_grid_low_ones,65536,0.0070230811087344915,0.006426807684236599,0.01790706344637853,-0.00021994167476432544,0.12383177596123959,0.09173238895040672
fpd2d_8x8_t15,signed_exponents,2000,251908.0844937067,0.00602377359835106,3995172.544569845,0.0003987886179120524,0.11741297757846691,0.05671663746450821
oadm_fixed_l0_div_specialized,uniform_200k,200000,0.04225530269301196,0.04265015139877548,0.056459673068841754,-0.006570985128219779,0.31238485450405257,0.2090140699571533
oadm_fixed_l0_div_specialized,retained_grid,65536,0.042375400409134935,0.042687880610981006,0.056713201659239175,-0.0064946379076699905,0.30990821055133083,0.2085666771891206
oadm_fixed_l0_div_specialized,retained_grid_low_ones,65536,0.04220861100109798,0.042651578299805246,0.05629865528724562,-0.0064888241222212754,0.31115811333691396,0.2098634486431315
oadm_fixed_l0_div_specialized,signed_exponents,2000,1408178.5490524718,0.04372829983024924,16763939.97876627,-0.007211581332637286,0.30662845557711776,0.22510454430328766
