dataset,design,mode,count,mred_pct,rmse,signed_mean,max_re_pct,p99_re_pct,exact_fraction
uniform,OAD_ideal_L0,DIV,200000,4.367530287875851,0.06989075572895849,-0.039968902674642225,33.11357150635625,23.20636319192389,0.0
uniform,OAM_ideal_L1,MUL,200000,0.7586353345679299,0.020845849752105048,5.7964801789173564e-05,6.1197130886034605,3.3829054069388804,0.0
uniform,OAD_ideal_L1,DIV,200000,1.1535296106278525,0.020350987242876675,-0.01117617273532128,9.930367233404976,5.917088703015249,0.0
uniform,OAM_ideal_L2,MUL,200000,0.1886491370933629,0.005221531520124796,2.7818625428766806e-06,1.5040567143904509,0.8049147744700305,0.0
uniform,OAD_ideal_L2,DIV,200000,0.2934780727362433,0.005379812141498265,-0.002893333269908525,2.6506351471709078,1.5635881321250773,0.0
uniform,OAM_ideal_L3,MUL,200000,0.047138602763592115,0.0013071254595136159,1.280181371519049e-06,0.3632022827300012,0.19724802417421944,5e-06
uniform,OAD_ideal_L3,DIV,200000,0.07393820508066776,0.0013675913244534208,-0.0007331267726849532,0.6930565192519093,0.39377934815983523,5e-06
uniform,PLSAD_ideal_8planes,DIV,200000,0.8218530072924304,0.01242102105715956,0.0013481223830188074,4.95550612121268,3.317833003862715,0.0
uniform,Mitchell_ideal,MUL,200000,3.854059675548381,0.10556885294607844,-0.0834717646463207,11.102658385932504,10.509873826342723,0.0
uniform,Mitchell_ideal,DIV,200000,4.0935255598494384,0.05853662066963612,0.04354382189549306,12.48948179979852,11.730450448128309,0.0
uniform,FPD2D_unquantized_LP_2x4,DIV,200000,0.41401602567170853,0.006757111952849358,-0.0016557606522732205,3.597331216044136,1.9953837824224583,0.0
uniform,FPD2D_unquantized_LP_2x8,DIV,200000,0.19342458232685245,0.003024638488438509,-0.00044980827146376455,1.657821547200676,0.8370322621926188,0.0
uniform,FPD2D_unquantized_LP_4x8,DIV,200000,0.10461808132071317,0.0016907075191972972,-0.00042266081398992673,0.9828847748667635,0.5118958566549728,0.0
