top,family,level,drop,bits,shell,rounding,dataset,cases,rmse,mred,mean_error,max_relative,mae
fig8_dw_d16,dw,,16,7,native_dw,RTZ,boundaries,1733,0.003999597817130504,0.002803237611444813,-0.0025468392894458297,0.010416566001034128,0.002812391194973289
fig8_dw_d17,dw,,17,6,native_dw,RTZ,boundaries,1733,0.008106601449133732,0.0055379522877712995,-0.00505558496169049,0.021114763941869317,0.005555248452732036
fig8_dw_d18,dw,,18,5,native_dw,RTZ,boundaries,1733,0.01650093136563579,0.01094125478409136,-0.010059552070749933,0.03963405698767466,0.010973809584958168
fig8_dw_d18_common,dw,,18,5,common,RTZ,boundaries,1733,0.01650093136563579,0.01094125478409136,-0.010059552070749933,0.03963405698767466,0.010973809584958168
fig8_dw_d18_rne,dw,,18,5,native_dw,RNE,boundaries,1733,0.0157319538057968,0.011052768194582112,-0.0009081527631907875,0.03779060341591051,0.011058163929905924
fig8_pace_l3_d17_historical,pace,3,17,6,historical,author,boundaries,1733,0.01397932014493508,0.00870141284275423,-0.008364514563537002,0.04687494318931956,0.008794776511819624
fig8_pace_l1_d18_delivered,pace,1,18,5,common_delivered_adders,author,boundaries,1733,0.018742048216706622,0.00875778416121052,-0.007958787500640293,0.14062494877725534,0.00905708233587759
fig8_pace_l2_d18_delivered,pace,2,18,5,common_delivered_adders,author,boundaries,1733,0.019090927979321545,0.010930173007187951,-0.01009561669856297,0.09374994598328745,0.011107978109949406
fig8_pace_l1_d0,pace,1,0,23,common,author,signed_safe,100,16664.843445328217,0.026111274717039206,-816.7924424638071,0.11143347640237193,3475.20399609607
fig8_pace_l1_d4,pace,1,4,19,common,author,signed_safe,100,16665.255770003503,0.02611146471029278,-816.8019961013082,0.11143403805282377,3475.290750423378
fig8_pace_l1_d8,pace,1,8,15,common,author,signed_safe,100,16666.406133014785,0.026111957017645494,-817.1324722068828,0.11144002899097671,3475.4643680014847
fig8_pace_l1_d12,pace,1,12,11,common,author,signed_safe,100,16707.76056959798,0.02613931431030291,-817.4726573645189,0.11148795649620023,3484.9974708569994
fig8_pace_l1_d14,pace,1,14,9,common,author,signed_safe,100,16457.60534433856,0.026136389072484483,-806.5613652785204,0.11148795649620023,3444.624102109211
fig8_pace_l1_d15,pace,1,15,8,common,author,signed_safe,100,16869.1017567981,0.026625657164623683,-877.6828411446011,0.1125104099409687,3518.428893184214
fig8_pace_l1_d16,pace,1,16,7,common,author,signed_safe,100,17490.461129640735,0.0269761090557698,-968.2677949947316,0.1125104099409687,3603.9817830569386
fig8_pace_l1_d17,pace,1,17,6,common,author,signed_safe,100,18259.825696497654,0.027695840848991685,-863.4710217683773,0.11660022372004258,3839.15051255593
fig8_pace_l1_d18,pace,1,18,5,common,author,signed_safe,100,18699.806985975756,0.029379869775644173,-568.6898168849583,0.11660022372004258,4089.0976153274755
fig8_pace_l2_d0,pace,2,0,23,common,author,signed_safe,100,7854.545971479435,0.01548810264430423,1299.7748347436636,0.08337442506932363,1461.0460104419885
fig8_pace_l2_d4,pace,2,4,19,common,author,signed_safe,100,7854.169659029223,0.01548820917901283,1299.7842286830141,0.08337452779374943,1461.0500833536173
fig8_pace_l2_d8,pace,2,8,15,common,author,signed_safe,100,7853.604324527608,0.015488945355942871,1299.5785835357879,0.08334987393155867,1460.9060993450175
fig8_pace_l2_d12,pace,2,12,11,common,author,signed_safe,100,7865.580435514985,0.015531896906993595,1307.2518190395874,0.0834550637435726,1469.1697542494592
fig8_pace_l2_d14,pace,2,14,9,common,author,signed_safe,100,7869.926201865167,0.015634912670988592,1279.1232713305499,0.08387582299162837,1446.1409771952603
fig8_pace_l2_d15,pace,2,15,8,common,author,signed_safe,100,7482.790695359533,0.015805454512623426,1261.8711380096654,0.08387582299162837,1422.4996653721782
fig8_pace_l2_d16,pace,2,16,7,common,author,signed_safe,100,6718.995898966927,0.016339093229165734,1154.2518988663503,0.08387582299162837,1325.7642411272745
fig8_pace_l2_d17,pace,2,17,6,common,author,signed_safe,100,7068.62022971949,0.017425202951104647,1340.8750016239082,0.07714367502273625,1488.7321835894813
fig8_pace_l2_d18,pace,2,18,5,common,author,signed_safe,100,8829.401431044682,0.020988401896650067,1616.0360214051586,0.07714367502273625,1775.7505262042478
fig8_pace_l3_d0,pace,3,0,23,common,author,signed_safe,100,4825.479876660003,0.005602575887047673,544.6850530251533,0.03389471344696637,764.1163555098287
fig8_pace_l3_d4,pace,3,4,19,common,author,signed_safe,100,4825.0547925502815,0.0056025823841518415,544.6809831028725,0.03389481802377138,764.0954226370718
fig8_pace_l3_d8,pace,3,8,15,common,author,signed_safe,100,4818.371050616173,0.005601566807646397,543.5956516364837,0.03389481802377138,762.5218023374098
fig8_pace_l3_d12,pace,3,12,11,common,author,signed_safe,100,4745.040924714619,0.0056099319003622364,540.239874001077,0.03402867633419161,757.5570247092791
fig8_pace_l3_d14,pace,3,14,9,common,author,signed_safe,100,4878.125780410478,0.00563729757426103,517.0665154961418,0.03317198314750214,719.3057834131333
fig8_pace_l3_d15,pace,3,15,8,common,author,signed_safe,100,4451.430797445752,0.0059404551831681186,450.3517031771402,0.031458596774123194,642.5421524783894
fig8_pace_l3_d16,pace,3,16,7,common,author,signed_safe,100,2971.2057335547906,0.007335290060707294,304.7359036919464,0.03488536952088108,542.9590170800668
fig8_pace_l3_d17,pace,3,17,6,common,author,signed_safe,100,3969.3997615470507,0.010878235113116738,478.30830574653965,0.03480394813856504,876.9513052639469
fig8_pace_l4_d0,pace,4,0,23,common,author,signed_safe,100,3408.2700508068488,0.004008854445974274,481.4922325052703,0.02835151532029863,658.2761061076325
fig8_pace_l4_d4,pace,4,4,19,common,author,signed_safe,100,3407.8214660765907,0.004008551457425403,481.46596287027387,0.02835141074349361,658.136881897854
fig8_pace_l4_d8,pace,4,8,15,common,author,signed_safe,100,3399.9989151979294,0.0040022107553545185,480.16195941735253,0.028326312310289817,656.405864120158
fig8_pace_l4_d12,pace,4,12,11,common,author,signed_safe,100,3320.7627885037164,0.003957326218200131,480.0770925036187,0.02846017062071005,635.2540725355962
fig8_pace_l4_d14,pace,4,14,9,common,author,signed_safe,100,2877.9143111199533,0.004260622044960272,410.07992671017223,0.026318437653986372,543.3408650906354
fig8_pace_l4_d15,pace,4,15,8,common,author,signed_safe,100,2273.3316393445143,0.005385532057568536,391.6198927621442,0.02460505128060743,458.75004353762523
fig8_pace_l4_d16,pace,4,16,7,common,author,signed_safe,100,3501.9235071004964,0.007764850261041723,227.79878321641016,0.02803182402736531,751.679296844542
fig8_dw_d0,dw,,0,23,native_dw,RTZ,signed_safe,100,0.016304475694725692,4.359268801123061e-08,0.00017375196729003982,1.0740308424008838e-07,0.003501564457208855
