top,family,level,drop,bits,shell,rounding,dataset,cases,rmse,mred,mean_error,max_relative,mae,area_um2,delay_ns,slack_ns,power_mw,dc_report,pt_dir,adp_um2_ns,status
fig8_pace_l4_d4,pace,4,4,19,common,author,uniform_10k,10000,0.005922398015513784,0.003784606555314336,0.0017897035220314625,0.24004286643937242,0.0038275427637522157,2637.360011,2.76723,7.21277,0.152268,experiments/pace_fig8_reverse/dc/fig8_pace_l4_d4/fig8_pace_l4_d4.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_pace_l4_d4,7298.181743239531,pass
fig8_pace_l4_d8,pace,4,8,15,common,author,uniform_10k,10000,0.005912759444247669,0.003778448351676593,0.0017595038989235508,0.24002013713119127,0.003822212511112312,2113.200009,2.57687,7.40313,0.117706,experiments/pace_fig8_reverse/dc/fig8_pace_l4_d8/fig8_pace_l4_d8.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_pace_l4_d8,5445.441707191831,pass
fig8_pace_l4_d12,pace,4,12,11,common,author,uniform_10k,10000,0.005781661997458488,0.0037311310780581814,0.0012767814257790204,0.23986860840998356,0.0037873851711058733,1599.840006,2.35754,7.62246,0.08487660000000001,experiments/pace_fig8_reverse/dc/fig8_pace_l4_d12/fig8_pace_l4_d12.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_pace_l4_d12,3771.68680774524,pass
fig8_pace_l4_d14,pace,4,14,9,common,author,uniform_10k,10000,0.005724560340784351,0.003951143746540302,-0.0002652107617209756,0.23938371650211887,0.004057661171535348,1331.640006,2.23932,7.74068,0.0684507,experiments/pace_fig8_reverse/dc/fig8_pace_l4_d14/fig8_pace_l4_d14.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_pace_l4_d14,2981.9680982359205,pass
fig8_pace_l4_d15,pace,4,15,8,common,author,uniform_10k,10000,0.0064122420471490705,0.00476730876219696,-0.0023087654492209776,0.23744414887066018,0.004950678225567456,1197.720005,2.13633,7.84367,0.0592215,experiments/pace_fig8_reverse/dc/fig8_pace_l4_d15/fig8_pace_l4_d15.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_pace_l4_d15,2558.7251782816497,pass
fig8_pace_l4_d16,pace,4,16,7,common,author,uniform_10k,10000,0.009721413681973767,0.007563399529254351,-0.006410718574220951,0.23356501360774273,0.00788526064367044,1059.120005,2.08841,7.89159,0.0509222,experiments/pace_fig8_reverse/dc/fig8_pace_l4_d16/fig8_pace_l4_d16.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_pace_l4_d16,2211.87680964205,pass
fig8_dw_d0,dw,,0,23,native_dw,RTZ,uniform_10k,10000,5.4285029883856095e-08,4.301710533163412e-08,-4.4735367138848405e-08,1.1723626154496735e-07,4.4735367138848405e-08,19604.520074,9.75016,0.22984,1.899,experiments/pace_fig8_reverse/dc/fig8_dw_d0/fig8_dw_d0.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_dw_d0,191147.20744471182,pass
fig8_dw_d4,dw,,4,19,native_dw,RTZ,uniform_10k,10000,1.0122999975905517e-06,8.197093033001158e-07,-6.703755210237361e-07,3.168539369979926e-06,8.212756289767809e-07,14384.520075,8.80543,1.17457,1.29199,experiments/pace_fig8_reverse/dc/fig8_dw_d4/fig8_dw_d4.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_dw_d4,126661.88460400724,pass
fig8_dw_d8,dw,,8,15,native_dw,RTZ,uniform_10k,10000,1.6031309423054903e-05,1.2905829393877324e-05,-1.0521735842068659e-05,4.8783156917522044e-05,1.2970321063339885e-05,11450.880212,6.07156,3.90844,0.643701,experiments/pace_fig8_reverse/dc/fig8_dw_d8/fig8_dw_d8.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_dw_d8,69524.70625997071,pass
fig8_dw_d12,dw,,12,11,native_dw,RTZ,uniform_10k,10000,0.0002559891726407568,0.00020664102913438675,-0.0001688240429709745,0.0008523745962458918,0.00020720432459900247,2102.760011,9.91553,0.06447,0.132974,experiments/pace_fig8_reverse/dc/fig8_dw_d12/fig8_dw_d12.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_dw_d12,20849.97997187083,pass
